Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jason agrees to Tahani’s plan to marry him so he can share her fortune	Jason	Tahani	75	55	Bandit	He gains immense wealth while she incurs legal/financial complications, though she consents.
Jason refers to his dad as Donkey Doug and tries “Donkey Dad”	Jason	Donkey Doug	55	55	Intelligent	Playful renegotiation of terms of affection modestly strengthens their bond.
Jason always calls himself a “pre-successful” DJ instead of a failed one	Jason	Himself	65	55	Intelligent	Reframing preserves his self-esteem without harming others.
Jason happily steps aside from Tahani when she reconnects with Larry and focuses on a Jags group	Jason	Himself & Tahani	75	80	Intelligent	Redirects his energy to his fandom, easing his own loss and supporting her happiness.
Jason helps Chidi understand a utilitarian dilemma via his gator-dealer anecdote	Jason	Chidi	70	80	Intelligent	His story clarifies ethics for Chidi while affirming Jason’s own value and insight.
Jason effectively explains to the Judge how hard it is to make good decisions in real life	Jason	The Judge	85	90	Intelligent	His testimony directly influences systemic reform that helps all future humans.
Jason is first to realize Eleanor is going too far in torturing Chidi in Season 4	Jason	Chidi	75	85	Intelligent	Protects Chidi’s well-being while reinforcing his own moral growth.
Jason advises Chidi to live in the moment and not agonize over decisions	Jason	Chidi	80	90	Intelligent	Improves Chidi’s psychological health and decisiveness, affirming Jason’s own growth.
Jason helps Chidi overcome insecurity as Eleanor’s love interest	Jason	Chidi	75	85	Intelligent	Supports Chidi’s relationship, deepening everyone’s happiness and Jason’s role as friend.
Jason suggests the burrito is the Judge during their trial	Jason	Team & Judge	55	50	Stupid	This specific guess is wrong and adds confusion, though low impact overall.
Jason is generally ruled by impulses pursuing instant gratification	Jason	Others around him	40	35	Stupid	His hedonism often backfires on himself and creates trouble for others.
Jason uses his charisma to command and encourage a crew of petty criminals	Jason	Crew & victims	70	30	Bandit	Builds community for his team while amplifying their collective criminal harm.
Jason gives calming “monk” touch to Michael that is reinterpreted as wise	Jason	Michael	65	70	Intelligent	Even if accidental, it genuinely comforts Michael and strengthens their connection.
Jason brings a bike gear (stolen from his soulmate) as a “magic amulet” for Eleanor	Jason	Soulmate & Eleanor	40	30	Bandit	Helps Eleanor psychologically while stealing from his assigned partner.
Jason hosts a huge going-away party before walking through the final door	Jason	All friends	90	95	Intelligent	He designs a farewell that fulfills his own wishes and leaves everyone with joyful memories.
Jason decides to walk through the final door when he feels content	Jason	Himself & friends	95	90	Intelligent	A considered choice that ends his existence at peak fulfillment and models healthy closure.
Jason waits thousands of years in meditation for Janet to return so he can give her a gift	Jason	Janet	20	85	Helpless	He sacrifices enormous time and potential experience solely to deliver a small, loving gesture.
Jason reads some books and references Montagues and Capulets	Jason	Himself & Chidi	70	70	Intelligent	His reading expands his mind and pleasantly surprises Chidi, enriching their dialogue.
Jason cheerfully overshares deeply disturbing childhood details	Jason	Listeners	45	30	Stupid	Reliving trauma doesn’t help him and distresses others.
Jason participates in a failed robbery with insufficient planning that gets him locked in a safe	Jason	Himself & accomplices	10	30	Helpless	Botched crime kills him and likely harms his crew’s prospects more than it helps.
Jason gets a vanity license plate reading “I LUV BUTTS”	Jason	Other drivers & society	55	45	Stupid	Minor self-amusement with negligible benefit while adding trivial annoyance and juvenile behavior.
Michael names his dog “Jason” and gives it a Jaguars-themed collar	Michael	Jason	70	80	Intelligent	Honors Jason’s influence and delights him, strengthening their bond.
