Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Tries to rein in random violence among more unstable mobsters	Silvio	Crime family	75	65	Intelligent	Improves group safety and income while solidifying his role as stabilizer.
Refuses to join New York’s conspiracy against Tony	Silvio	New York conspirators	70	45	Intelligent	Preserves loyalty and self-respect while avoiding a treacherous, risky move.
Undermines Tony’s authority once, via stealing floor tiles as a “message”	Silvio	Tony	40	30	Stupid	Risks trust and position for a petty symbolic act with limited practical benefit.
Pays Tony part of the money made from selling stolen floor tiles	Silvio	Tony	55	60	Intelligent	Reduces damage to trust and returns some gain, smoothing over conflict.
Reads Tony flawlessly over time and adjusts advice accordingly	Silvio	Tony	78	65	Intelligent	Enhances his influence and Tony’s decision quality, helping overall outcomes.
Refuses to judge Tony for attending therapy and is supportive	Silvio	Tony	80	70	Intelligent	Strengthens friendship and trust while supporting Tony’s mental health.
Is extremely loyal friend to Tony outside strictly criminal matters	Silvio	Tony	82	70	Intelligent	Gains emotional support and deep alliance while benefitting Tony’s personal life.
Tries to keep Tony from being involved in the aftermath of Fat Dom’s death	Silvio	Tony	65	58	Intelligent	Reduces Tony’s exposure and possible legal risk with little downside to himself.
Participates in killing suspected rats beyond confirmed cases	Silvio	Suspected informants	65	15	Bandit	Protects himself and the crew’s secrecy while often harming possibly innocent targets.
Violently slaps strippers to keep them under control and productive	Silvio	Strippers	70	5	Bandit	Maintains revenue and dominance through fear, seriously harming the women involved.
Frequently cheats on his wife with his own workers	Silvio	Wife / workers	65	20	Bandit	Gains personal pleasure and ego at the emotional expense of family and employees.
Refuses to tolerate bomb-scare prank at wake for traitor	Silvio	More sadistic mobsters	52	60	Intelligent	Limits gratuitous cruelty and bad optics while losing nothing significant.
Supports Tony as he handles Livia’s wake despite resenting missing Jets game	Silvio	Tony	55	50	Intelligent	Accepts personal annoyance to meet social/organizational obligations.
Refuses to join Lupertazzi side when Burt Gervasi invites him	Silvio	Lupertazzi allies	72	40	Intelligent	Stays loyal and avoids being on losing/treacherous side, though it puts him at some risk.
Calmly agrees to meet Burt at his home after Burt says he’s switching sides	Silvio	Burt Gervasi	68	40	Bandit	Sets up a situation where he will control the encounter and its outcome.
Brutally strangles Burt Gervasi to death in his own home	Silvio	Burt Gervasi	70	30	Bandit	Eliminates a turncoat and asserts loyalty, but intensifies the war and personal danger.
Updates Tony about killing Burt, confirming his loyalty and action	Silvio	Tony	65	55	Intelligent	Aligns narratives, reinforces trust, and helps Tony coordinate next moves.
Helps “keep the ship moving” through hyper-competent advising over years	Silvio	Crime family	82	70	Intelligent	Enjoys security and status by continually stabilizing operations and strategy.
Takes over as acting boss in “Mayham” despite not wanting role	Silvio	Himself / crew	35	45	Helpless	Accepts duty that severely harms his health despite temporarily helping continuity.
Shows overt racism and homophobia, praising Richie for disowning gay son	Silvio	Gay people / minorities	45	20	Bandit	Gains social approval in his subculture at clear expense of stigmatized groups.
Treats women (other than wife and daughter) horribly and misogynistically	Silvio	Women around him	72	10	Bandit	Extracts labor, sex, and control while strongly degrading their wellbeing.
Stresses over possibly having to take over for Tony as boss	Silvio	Himself	30	50	Helpless	Experiences anxiety and health consequences while others benefit from his diligence.
Sees a therapist at least once for his issues	Silvio	Himself	70	55	Intelligent	Invests in mental health, improving his functioning and indirectly benefiting associates.
Buys and wears toupee to improve appearance and gravitas	Silvio	Himself	60	55	Intelligent	Boosts his status and confidence, slightly improving how others view and work with him.
Builds himself into a self-made owner of Bada Bing and related ventures	Silvio	Himself / business partners	80	65	Intelligent	Increases wealth and status while providing economic activity, despite illicit context.
Has a hand in the music industry alongside his criminal work	Silvio	Music partners	65	60	Intelligent	Diversifies income and creates value for collaborators and artists.
Maintains close, loving marriage with Gabriella despite infidelity	Silvio	Gabriella	65	60	Intelligent	Derives emotional stability and support while providing a relatively caring partnership overall.
Cares deeply for his daughter and dotes on her as “The Principessa”	Silvio	Daughter	85	70	Intelligent	Finds meaning and joy in fatherhood while strongly supporting his child’s wellbeing.
Shows papa-wolf protectiveness over his daughter’s team situation	Silvio	Daughter / team	70	60	Intelligent	Overprotective but primarily motivated to secure her environment.
Becomes enraged and insulting when gambling or competition goes badly	Silvio	Opponents / bystanders	40	35	Stupid	Undermines his own composure and relationships without gaining advantage.
Regularly attends to Tony’s needs as right-hand man and confidant	Silvio	Tony	80	65	Intelligent	Secures his own safety and influence while making Tony’s leadership more effective.
Is nearly killed in Lupertazzi hit and falls into likely permanent coma	Lupertazzi shooters	Silvio	5	15	Stupid	Attackers incur war escalation and Sil loses almost everything, benefitting nobody clearly.
