Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Destroys Christopher and Kelli’s garden with his car after Little Paulie is beaten	Paulie	Christopher & Kelli	30	20	Stupid	His retaliatory rampage vents anger but needlessly damages family property and ties.
Sniffs Adriana’s panties during a late-night inspection visit	Paulie	Adriana	60	10	Bandit	Gains perverse gratification while violating her privacy and trust.
Refuses to apologize to Christopher for sniffing Adriana’s panties	Paulie	Christopher	55	20	Bandit	Preserves his pride and dominance while deepening resentment.
Acts as an overbearing mentor to Christopher, yet still teaches him the ropes	Paulie	Christopher	70	65	Intelligent	His guidance improves Christopher’s competence and reinforces Paulie’s status.
Helps clear a room of Colombian drug dealers in his late 60s	Paulie	Colombians	75	30	Bandit	Strengthens his crew’s criminal position by killing rivals or enemies.
Serves as manager of an amusement fair to skim and control revenue	Paulie	Fair operation	70	30	Bandit	Gains money and influence but degrades safety and business integrity.
Spends significant income providing for his mother	Paulie	Nucci	75	80	Intelligent	His financial support benefits both her well-being and his sense of duty.
Keeps his health, diet, and fitness disciplined compared to other mobsters	Paulie	Paulie	85	70	Intelligent	Improves his longevity and reliability, indirectly helping the crew.
Feeds Johnny Sack information that he thinks will secure a better position for himself	Paulie	Tony’s family	50	25	Bandit	Attempts personal advancement while weakening his own side’s leverage.
Accepts promotion as Tony’s successor under veiled threat of Patsy getting it	Paulie	DiMeo family	75	60	Intelligent	Taking the job preserves his power and ensures some continuity for the family.
Talks behind Tony’s back during periods of discontent	Paulie	Tony	50	35	Bandit	Vents and seeks allies while eroding loyalty and organizational cohesion.
Remains utterly loyal to the Mafia lifestyle and refuses to work with Feds	Paulie	Mafia institution	70	40	Bandit	Protects his standing and safety inside the mob while perpetuating criminal harm.
Openly mocks and belittles troublemakers like Richie, Ralph, Vito, Feech, and Chris	Paulie	Troublemakers	60	35	Bandit	His hostility sometimes protects him but also escalates conflicts and animosity.
Survives by staying paranoid and wary of almost everyone	Paulie	Paulie	85	55	Intelligent	His hyper-vigilance keeps him alive and incidentally steers him away from some threats.
Kills elderly Minnie Matrone after she discovers his robbery	Paulie	Minnie Matrone	70	5	Bandit	Gains loot and covers his crime through lethal violence against a vulnerable victim.
