Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sue destroys everything in her path when enraged	Sue	School property	20	10	Stupid	She indulges tantrums through vandalism, inviting serious consequences with no real gain.
Sue salts the earth in her backyard after selling her house	Sue	Buyer of her house	40	5	Bandit	She spitefully devalues the property for the next owner while losing any goodwill herself.
Sue tries to marry herself	Sue	Herself / observers	55	40	Intelligent	She indulges in a narcissistic act that amuses her and, at worst, bemuses others without real harm.
Sue threatens to pull Artie’s teeth out to extract information	Sue	Artie	45	5	Bandit	She deploys torture threats to gain information, traumatizing him to serve her investigation.
Sue terrorizes the school as principal while boosting academics	Sue	Students	65	35	Bandit	Her fear regime improves results but harms students’ well-being and autonomy.
Sue calls minority students by demeaning nicknames	Sue	Minority students	70	15	Bandit	She asserts dominance and amusement through insults at the cost of their dignity.
Sue repeatedly calls Kurt insulting names like “Lady”	Sue	Kurt	65	15	Bandit	She bolsters her persona and power by belittling him, offering him no benefit.
Sue tries to torture Artie at prom to find who spiked the punch	Sue	Artie	40	20	Bandit	She seeks control and answers via intimidation, partially aligned with discipline but abusive.
Sue attempts to pull Artie’s teeth but is stopped	Sue	Artie	30	15	Stupid	The escalating threat risks severe consequences for her while giving little more than she already had.
Sue gives “Reason You Suck” speeches to Will	Sue	Will	70	65	Intelligent	She unloads justified criticism that may also push him to reflect and improve, while satisfying herself.
Sue calls Will out on his treatment of minority and disabled students	Sue	Will / his students	75	80	Intelligent	She highlights real issues that can lead to better treatment, and gains moral high ground.
Sue calls Will out for relying on gimmicks instead of trusting kids	Sue	Will / Glee club	70	75	Intelligent	Her critique might redirect him toward healthier pedagogy while reinforcing her own savvy image.
Sue confesses the fired gun was hers to protect Becky	Sue	Becky	25	80	Helpless	She sacrifices her job to shield Becky from expulsion or worse, massively helping Becky.
Sue accepts being fired for the gun incident	Sue	School administration	20	70	Helpless	She bears formal punishment so Becky avoids it, taking the institutional hit herself.
Sue gradually becomes a begrudging Team Mom to New Directions	Sue	New Directions	75	80	Intelligent	She grows into a protective role that gives her connection and benefits the kids’ support system.
Sue does everything to get Blaine and Kurt back together	Sue	Blaine and Kurt	70	60	Intelligent	Her extreme meddling achieves the reconciliation she wants and restores their relationship.
Sue builds a Klaine stalker shrine and obsessively ships them	Sue	Blaine and Kurt	55	45	Intelligent	Her fixation entertains herself and, in context, indirectly supports their eventual reunion.
Sue uses stalking/Saw-style tactics to reunite Klaine	Sue	Blaine and Kurt	30	20	Bandit	She gets her desired outcome through coercive, frightening methods that traumatize them.
Sue tries to intimidate Will with near-face contact (“Child Star”)	Sue	Will	60	40	Bandit	She asserts dominance and enjoys unsettling him without offering him any benefit.
Sue destroys the choir room after getting its keys post-Sectionals	Sue	New Directions	30	10	Stupid	Her spiteful reaction to their loss only vents anger and damages property, helping nobody.
Sue secures another year for New Directions after they lose at Regionals	Sue	New Directions	75	90	Intelligent	She uses influence to save her enemies because she values their rivalry and their bonds.
