Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Acts as if mild burn is worse than Dwight’s concussion	Michael	Office (esp. Dwight)	30	30	Stupid	Seeks sympathy and disrupts work with exaggerated self-pity, harming respect and morale.
Demands credit with no blame for Golden Ticket success	Michael	David Wallace / Dwight	50	35	Bandit	Seeks status at the expense of fairness and coworkers’ recognition.
Gives Jim “engaged ain’t married” relationship advice	Michael	Jim	70	70	Intelligent	Provides blunt but useful advice that helps Jim pursue true relationship desires.
Calls out Andy for hiding prior engagement from Erin	Michael	Andy	65	65	Intelligent	Correctly frames Andy’s omission as serious, supporting Erin’s right to know.
Realizes Darryl is using Roy attack as pay-raise leverage	Michael	Darryl	60	55	Intelligent	Correctly reads negotiation dynamics, modestly benefiting both sides in stable outcome.
Refuses customer’s demand for resignation in Product Recall	Michael	Disaffected customer	75	60	Intelligent	Protects his job while offering fair remedy to customer within reason.
Rejects Dwight’s “bad advice” as sign of bad leadership	Michael	Dwight	70	60	Intelligent	Identifies that leaders are responsible for whom they follow, improving his own leadership insight.
Argues Meredith was drunk when he hit her (deleted scene)	Michael	HR / liability audience	55	40	Bandit	Attempts to dodge responsibility by blaming victim, slightly shielding himself.
Tells Stanley he must still treat him with boss-level respect	Michael	Stanley	65	60	Intelligent	Affirms necessary workplace hierarchy while accepting Stanley’s personal dislike.
Negotiates Michael Scott Paper Co. buyout with David Wallace	Michael	David Wallace / Dunder Mifflin	95	85	Intelligent	Secures jobs and favorable terms for himself and team while solving a corporate problem.
Questions Jim & Pam for not telling him about pregnancy	Michael	Jim & Pam	60	45	Bandit	Gains some managerial justification but mostly makes it about himself, stressing them.
Correctly suspects Donna wants more and is cheating	Michael	Donna / coworkers	60	55	Intelligent	Reads situation accurately, helping him make more informed relationship decisions.
Refuses to send Oscar to jail by framing him for drugs	Michael	Oscar	70	80	Intelligent	Stops an unjust scheme, accepting loss of his petty revenge against Toby.
Dismisses Jim’s brothers’ crude jokes before the wedding	Michael	Jim	70	75	Intelligent	Protects the tone of Jim’s wedding and shows appropriate boundaries.
Spanks and then fires Luke in front of the office	Michael	Luke	30	45	Stupid	Firing addresses problem, but public spanking is unprofessional and harms Michael more.
Generally brushes off rules and infractions to be liked	Michael	Office discipline	35	35	Stupid	Loss of authority and structure without yielding stable friendship or performance gains.
Treats employees as “babies” needing guidance	Michael	Employees	45	35	Stupid	Undercuts adult autonomy and his own credibility while gaining only a feeling of importance.
Disciplines Stanley for open disrespect in “Did I Stutter”	Michael	Stanley	80	70	Intelligent	Finally enforces boundaries, improving respect and workplace order.
Runs murder mystery game to keep morale up during crisis	Michael	Office	75	80	Intelligent	Uses play to manage panic; childish form but effective boost to morale in tough moment.
Hires Kevin as accountant instead of warehouse worker	Michael	Kevin / accounting team	40	30	Stupid	Misjudges skills, saddling office with an incompetent accountant and future problems.
Picks Stanley over Kevin for basketball	Michael	Office team	35	40	Stupid	Weakens his team and embarrasses Stanley while ignoring the actually skilled player.
Insults Andy in front of class for badmouthing paper industry	Michael	Ryan	70	60	Intelligent	Uncharacteristically, correctly calls out Ryan’s disrespect and defends his field.
Accepts he’ll never be friends with Stanley but demands respect	Michael	Stanley	80	70	Intelligent	Balances emotional reality with professional expectations, improving office dynamics.
Becomes parental figure for Erin	Michael	Erin	80	75	Intelligent	Gives Erin emotional support and guidance she lacks, also fulfilling his need to nurture.
Publicly outs Stanley’s affair with Cynthia	Michael	Stanley / office	30	20	Stupid	Reveals private matter in revenge, worsening Stanley’s life and eroding Michael’s trustworthiness.
Spanks Luke in front of entire office for misbehavior	Michael	Luke	20	40	Stupid	Indulges anger via humiliating physical punishment that backfires on his image and career risk.
Considers Todd Packer a friend and keeps enabling him	Michael	Office	30	25	Stupid	Harms office culture and his own reputation by supporting an obvious jerk.
Eventually rejects Todd Packer after going too far	Michael	Todd Packer	70	60	Intelligent	Cuts off a toxic “friend,” improving his environment and self-respect.
Keeps bringing Ryan back despite repeated failures	Michael	Ryan / office	25	20	Stupid	Invests in someone who hurts the company and himself, for misplaced affection.
Foils Jim & Dwight’s plan to frame Toby when cops arrive	Michael	Toby	65	75	Intelligent	Stops a cruel, potentially criminal scheme, protecting Toby and the office.
Disciplines almost no one and cries when he must	Michael	Office staff	40	40	Stupid	Weak leadership hurts both his authority and the office’s functioning.
Invades Stanley’s privacy to discover his affair	Michael	Stanley	20	25	Stupid	Needlessly violates privacy, gaining only gossip and damaging trust.
Uses heavy machinery dangerously in the warehouse	Michael	Warehouse / self	10	15	Stupid	Risks serious harm to himself and others for jokes and thrills.
Shows up to Pam’s art show when no one else does	Michael	Pam	80	85	Intelligent	Provides emotional validation and support when she most needs it, deepening their bond.
Tries to “play Cupid” at blood-drive singles event for own date	Michael	Business-park singles	45	40	Stupid	Uses pretense of helping others mostly as a ploy for himself, with little success or benefit.
Becomes Mean Boss after Jan breakup, blames Pam etc.	Michael	Employees (esp. Pam)	25	25	Stupid	Vents pain by mistreating staff, harming morale and respect without helping himself.
Makes “Golden Ticket” idea that nearly costs company money	Michael	Dunder Mifflin	35	25	Stupid	Takes big marketing risk with little foresight, almost severely harming company finances.
Takes second job to pay debts while Jan overspends	Michael	Michael	40	50	Helpless	Overworks himself due to poor financial decisions and partner’s spending, others unaffected.
Makes many unnecessary purchases aiding his debt	Michael	Michael	10	50	Helpless	Directly harms his financial health through needless spending.
Fires Tony after he tries to quit over Michael’s antics	Michael	Tony	20	15	Bandit	Tries to save face by firing him, costing company severance and worsening his own image.
Drives car into lake to “prove” GPS is unreliable	Michael	Passengers / property	5	10	Stupid	Endangers lives and property to make a nonsensical point; harms self and others.
Tries to eat unidentified wild mushrooms	Michael	Michael	5	50	Helpless	Seriously risks poisoning himself for no clear benefit, others unaffected.
Prepares to jump off roof onto bouncy castle in demo	Michael	Office (and self)	5	20	Stupid	Again endangers his own life in front of coworkers with shaky safety measures.
Takes kids to Chili’s, hosts Dundies, casino night etc.	Michael	Office staff	75	80	Intelligent	Improves camaraderie and morale, and gets affection/identity as “fun boss.”
Tricks Todd Packer with fake Florida promotion (complicit)	Michael	Todd Packer	65	35	Bandit	Escapes a toxic coworker with a cruel prank that significantly harms Packer.
Makes every situation “all about him” in practice	Michael	Everyone around him	30	30	Stupid	Undermines relationships and trust while never achieving real satisfaction.
Uses Toby as a constant punching bag	Michael	Toby	25	20	Stupid	Gets fleeting catharsis while pointlessly hurting an inoffensive coworker and his own image.
Steps up to protect employees when their wellbeing is at stake	Michael	Employees	85	85	Intelligent	When cornered, reliably does the right thing, benefiting both himself and his staff.
Runs branch in a way that becomes top-performing by S5	Michael	Scranton branch	90	85	Intelligent	Despite chaos, achieves outstanding results for himself and the team.
Leaves Dunder Mifflin voluntarily rather than being fired	Michael	Michael	85	75	Intelligent	Exits on his own terms for a happier life while avoiding an employment disaster.
Becomes calmer, more mature family man by Dwight’s wedding	Michael	Family & friends	90	85	Intelligent	Gains stable happiness and brings warmth and support to others.
