Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
He brings Prometheus Bound to trial to pose as an intellectual man-of-the-people	Clay Davis	Voters / reporters	70	40	Bandit	He crafts a relatable image to aid his case, mildly deceiving observers about his depth and literacy.
He lies that he gave city hall funds to single mothers and desperate children	Clay Davis	Public / oversight bodies	85	10	Bandit	He shields his misuse of funds and enhances his image while diverting scrutiny from actual needy recipients.
He calls Daniels a motherfucker and insults him when resisted	Clay Davis	Daniels	35	40	Stupid	He gratifies his ego short term but damages relations and gains no strategic advantage.
He explains to Stringer that “your man as good as his word” mentality doesn’t fit big-league crime	Clay Davis	Stringer Bell	60	55	Intelligent	He shares accurate, if cynical, insight into white-collar corruption that could help Stringer operate more effectively.
He leverages his influence to help Burrell rise to Commissioner	Clay Davis	Ervin Burrell	65	60	Intelligent	He strengthens an ally in power while increasing his own leverage, mutually beneficial within their corrupt world.
He escapes legal punishment and his position is reinforced after acquittal	Clay Davis	Justice system / public	95	10	Bandit	His career and impunity are boosted while public faith in justice suffers.
He theatrically hams it up in public (large, performative persona)	Clay Davis	Voters / observers	70	45	Bandit	His showmanship enhances his charisma and support while mildly distorting people’s judgments.
He attempts to rip off Carcetti so audaciously that Norman laughs	Clay Davis	Tommy Carcetti	80	20	Bandit	He seeks further illicit gain from Carcetti at Carcetti’s expense, risking Carcetti’s trust and resources.
He charms a jury into believing his charity theft was for a good cause	Clay Davis	Jury / public	90	10	Bandit	He turns clear wrongdoing into an acquittal narrative, solidifying his freedom while degrading justice.
He presents himself to Avon as someone who “made it out” of the projects via politics	Clay Davis	Avon Barksdale	65	40	Bandit	He frames his rise as aspirational to gain Avon’s trust, offering a model but mainly for self-advantage.
He solicits bribes from two opposing political candidates simultaneously	Clay Davis	Multiple candidates / voters	95	5	Bandit	He maximizes financial and political gain while corrupting the electoral process and both campaigns.
He plays the victim card on the courthouse stairs and inside court	Clay Davis	Jury / public / media	90	10	Bandit	He secures sympathy, narrative control, and legal benefit by mischaracterizing himself as persecuted.
He behaves as a sleazy, scummy figure in personal life in addition to crime	Clay Davis	Friends / associates / family	60	30	Bandit	His personal opportunism benefits him socially/sexually while eroding trust and hurting close others.
He solicits bribes from Stringer promising real estate help but never acts	Clay Davis	Stringer Bell	85	5	Bandit	He exploits Stringer’s ambition for pure financial gain, offering only illusions.
He uses the “rainmaker” posture to keep Stringer paying despite no results	Clay Davis	Stringer Bell	80	10	Bandit	He strategically prolongs the con, increasing his profit while deepening Stringer’s losses.
He delivers angry rants to cronies during political scrutiny	Clay Davis	Political allies	40	40	Stupid	He alienates allies and shows instability, undermining his own support network with no clear upside.
He quickly pulls himself together to resume his slimy public persona	Clay Davis	Public / observers	70	40	Bandit	He restores his useful façade to protect his career, maintaining the deception that harms public understanding.
He cultivates and maintains good public publicity despite villainy	Clay Davis	Voters / media	90	15	Bandit	His image management yields strong political survival while misleading the electorate about his true nature.
