Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Has his cop career largely because of Valchek’s nepotism	Valchek	Roland Pryzbylewski	65	30	Bandit	Valchek helps family status while saddling the force and Prez with a poor fit.
Grows tired of nepotistic protection and declines to mount a defense after last accident	Roland Pryzbylewski	Himself	70	65	Intelligent	Accepting responsibility and exiting a bad-fit career lets him pursue something healthier for him and safer for others.
Pursues a new career as a teacher after leaving the force	Roland Pryzbylewski	His future students	85	90	Intelligent	Choosing teaching unlocks his strengths and provides substantial benefit to children.
Becomes a caring person as a teacher in Season 4	Roland Pryzbylewski	His students	85	90	Intelligent	Developing genuine care improves student welfare and his own fulfillment.
Acts as the only seemingly competent person on the initial Sobotka detail	Roland Pryzbylewski	Sobotka detail	70	65	Intelligent	His relative competence advances the case and bolsters his reputation.
Takes pleased satisfaction as the Sobotka case pieces come together	Roland Pryzbylewski	Investigation team	75	70	Intelligent	His analytical success is gratifying personally and advances the collective investigation.
Cracks Barksdale pager codes and organizational structure	Roland Pryzbylewski	Barksdale investigation team	90	90	Intelligent	Highly valuable analytical work strongly boosts both his status and the case’s progress.
Improves as a cop (“level in badass”) then later backslides	Roland Pryzbylewski	Himself / colleagues	60	45	Helpless	Some growth benefits him and others but later regression, including the shooting, undercuts gains more for others than him.
Takes a “level in badass” as a teacher	Roland Pryzbylewski	His students	85	90	Intelligent	Becoming more capable and confident in the classroom helps his career and student outcomes.
Is covered for by the police force after hurting Black people	Police institution	Black community / public trust	60	10	Bandit	Protecting him avoids institutional fallout while greatly harming justice and community trust.
Feels “My God, what have I done?” after killing Waggoner	Roland Pryzbylewski	Himself	40	55	Helpless	Crushing remorse damages his own well-being while slightly humanizing him to others.
Avoids serious discipline for shooting his squad car and blinding a kid; is relegated to desk duty	Roland Pryzbylewski	Blinded kid / justice system	75	10	Bandit	He lands in a role he likes and excels at while the victim and fairness suffer.
Enjoys and excels at desk duty once removed from the street	Roland Pryzbylewski	Baltimore PD	80	80	Intelligent	Flourishing in analysis aids investigations and stabilizes his career.
Punches a superior officer and faces no real consequences	Roland Pryzbylewski	Department hierarchy	65	30	Bandit	He vents and seemingly suffers little, while undermining authority and norms.
Kills another cop yet faces no criminal charges and only loses his job	Justice system / BPD	Public / Waggoner’s circle	60	10	Bandit	He avoids prison and reinvents as teacher while justice for the victim and trust in the system are harmed.
Becomes a teacher after losing his police job and bounces back	Roland Pryzbylewski	His future students	85	90	Intelligent	Transforms a career-ending failure into a socially valuable new profession.
Plays Johnny Cash while working on investigations and classroom	Roland Pryzbylewski	Himself / coworkers or students	60	60	Intelligent	Music helps maintain his focus and mood, mildly benefiting shared work environments.
Acknowledges he may have internalized racism that contributed to shooting a Black cop	Roland Pryzbylewski	Himself / future Black students	65	70	Intelligent	Self-examination can reduce future bias, helping his growth and those he serves.
Pistol-whips a 14-year-old in the eye, blinding him	Roland Pryzbylewski	14-year-old kid	10	0	Stupid	Extreme, needless violence permanently harms the child and severely damages his own reputation.
Later cannot look the blinded kid in the eye when they meet again	Roland Pryzbylewski	Blinded kid	30	35	Helpless	His shame hurts him and denies the victim possible acknowledgment or apology.
Eventually teaches kids the same age he once hurt	Roland Pryzbylewski	His students	80	85	Intelligent	Channeling guilt into caring teaching benefits him and similarly aged children.
