Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Double dates with 18-year-old Bart and Homer (Edna willing)	Edna Krabappel	Older Bart / Homer	65	30	Bandit	She seeks companionship from a dubious situation that mostly benefits her.
Politely rejects dating Edna	Future Bart	Edna Krabappel	65	70	Intelligent	He avoids a bad match while Edna is nudged toward healthier relationships.
Encourages Bart that both can do better with other people	Edna Krabappel	Future Bart	70	75	Intelligent	She reframes the rejection positively, helping them both aim higher.
Accuses Edna of dating Bart	Ms. Cantwell	Edna Krabappel	45	35	Stupid	The baseless accusation strains relations without clear gain.
Replies sarcastically that she avoids Bart because he’s “so delicious”	Edna Krabappel	Ms. Cantwell / Bart	55	50	Intelligent	The sarcasm deflects the accusation and undercuts Cantwell’s hostility without serious harm.
Tries to seduce Mr. Bergstrom	Edna Krabappel	Mr. Bergstrom	65	55	Intelligent	She pursues mutual adult attraction with limited collateral effects.
Finds a provocative picture of Edna and decides to attend Parents’ Night	Homer Simpson	Edna Krabappel	70	45	Bandit	He chases personal titillation while risking awkwardness and objectifying her.
Wears college-style clothes and acts younger to recapture the past	Edna Krabappel	Herself	50	55	Helpless	Nostalgia gives fleeting relief but deepens her sense of lost time.
Gives Bart extra credit so he passes fourth grade	Edna Krabappel	Bart Simpson	80	85	Intelligent	She rewards genuine effort, preserving his progress and her standards.
Studies hard and still initially fails his final test	Bart Simpson	Himself	40	70	Helpless	His effort benefits Edna’s perception and fairness more than his grade until the extra credit.
Reveals in her writings that she believes in Bart’s potential	Edna Krabappel	Bart Simpson	70	80	Intelligent	Her faith posthumously supports his self-image and honors her own values.
Starts drinking her days away after divorce and job loss	Edna Krabappel	Herself	10	40	Helpless	Alcohol coping devastates her well-being while only mildly easing others from her intensity.
Gets fired from a prestigious private school	Edna Krabappel	Herself	15	45	Helpless	Losing a good job hurts her prospects; others get a calmer environment.
Takes a job at Springfield Elementary	Edna Krabappel	Students / Herself	55	60	Intelligent	She regains employment and provides one of the only caring teachers there.
Frequently drinks alone (“Dinner for one, wine for three…”)	Edna Krabappel	Herself	15	40	Helpless	Heavy solitary drinking self-harms while only marginally numbing pain.
Accepts and laughs at the “crab apple” name joke	Edna Krabappel	Students / Peers	55	55	Intelligent	Leaning into the joke diffuses mockery and smooths social tension.
Engages in terrible dating life and quick flings	Edna Krabappel	Herself / Various partners	35	45	Helpless	Short flings rarely satisfy her deeper need for love and stability.
Hooks up with many people before marrying Ned	Edna Krabappel	Various partners	45	45	Helpless	Frequent hookups offer fleeting comfort but deepen Ned’s doubts and her insecurity.
Marries Ned despite his worries about her past	Ned Flanders	Edna Krabappel	80	80	Intelligent	He chooses forgiveness and love, gaining a partner and blessing her with acceptance.
Torments Bart as his sitcom arch-nemesis	Edna Krabappel	Bart Simpson	55	40	Bandit	She retaliates to preserve order and vent frustration, increasing his suffering.
Torments Edna as her sitcom arch-nemesis	Bart Simpson	Edna Krabappel	55	30	Bandit	His pranks amuse him and fulfill his role while making her life harder.
Treats Bart as a worthy opponent with mutual respect	Edna Krabappel	Bart Simpson	70	75	Intelligent	Respect turns conflict into growth for both.
Treats Edna as a worthy opponent with mutual respect	Bart Simpson	Edna Krabappel	70	75	Intelligent	Bart gains guidance and challenge while honoring her as a rival he values.
