Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Later rejects the new persona to return to a corporate-sponsored lifestyle	Krusty	Audience	75	40	Bandit	He chooses higher income and comfort over less lucrative but richer comedy for others.
Sells his likeness rights internationally	Krusty	Foreign audiences	70	40	Bandit	He earns by licensing himself even as foreign clones outshine him.
Shills almost anything solely for money	Krusty	Consumers	70	25	Bandit	He gains income but routinely foists poor-value products on buyers.
Finds no humor in Apu cheating on his wife with many kids involved	Krusty	Apu/family	60	70	Intelligent	His disapproval aligns with protecting a large family and reflects some moral sense.
Makes it up to kids from Kamp Krusty by taking them to Tijuana	Krusty	Kamp Krusty kids	70	80	Intelligent	He spends resources to compensate them, regaining goodwill and giving them fun.
Gambles heavily, including wagering against the Harlem Globetrotters	Krusty	Mafia/others	5	50	Helpless	His compulsive betting devastates his finances and angers the Mafia without helping others.
Accepts agent’s advice to switch from serious stand-up to cheap laughs	Krusty	Audience	75	45	Bandit	He gains more money and fame but lowers artistic and audience value.
Openly admits he would have someone whacked for $1000, then calls it a joke	Krusty	Simpsons/fans	55	40	Bandit	He toys with violent power to impress while unsettling others, gaining only edge and attention.
Treats Sideshow Bob badly, prompting Bob’s revenge	Krusty	Sideshow Bob	40	20	Bandit	He asserts dominance as a mean boss but cultivates a long-term deadly enemy.
Continues mistreating Sideshow Mel and Mr. Teeny	Krusty	Assistants	50	25	Bandit	He extracts compliance and labor while harming their well-being and morale.
Regularly steels or plagiarizes jokes from other comedians	Krusty	Other comedians	70	20	Bandit	He boosts his material cheaply at the direct creative expense of peers.
Spends millions on extravagant, pointless luxuries	Krusty	Krusty	10	50	Helpless	His extreme conspicuous consumption repeatedly drains his own wealth.
Endorses dangerous and untested products without checking them	Krusty	Consumers	60	5	Bandit	He profits from slapping his brand on items that can seriously harm buyers.
Allows Krusty-O cereal with jagged metal to reach children	Krusty	Child consumers	50	2	Bandit	He gains sales while subjecting kids to serious injury risks.
Replaces Krusty-O metal hazard with flesh-eating bacteria after lawsuit	Krusty	Child consumers	40	0	Stupid	He keeps profiting from a product that’s lethally unsafe, risking lawsuits and brand damage.
Sells pregnancy tests that can induce birth defects	Krusty	Users/infants	45	0	Stupid	He profits in the short term while causing catastrophic harm and eventual backlash.
Operates unsanitary Krusty Burger restaurants	Krusty	Customers	55	10	Bandit	He cuts corners for profit but endangers customers’ health.
Mass-merchandises everything with low-quality goods	Krusty	Consumers	70	25	Bandit	He makes money off shoddy, often unsafe items that disappoint or hurt buyers.
Shifts from caring clown to indifferent sellout who doesn’t care about kids	Krusty	Child audience	60	30	Bandit	He retains income but neglects their welfare and trust.
Sexually harasses younger women and sidekick Ms. "No Means No"	Krusty	Women coworkers	55	5	Bandit	He indulges his desires while seriously harming and endangering the women.
Buys huge quantities of porn, helping Apu’s store stay afloat	Krusty	Apu	65	70	Intelligent	His vice spending brings him gratification and materially supports Apu’s business.
Takes Sophie into his life but remains a neglectful father	Krusty	Sophie	40	35	Helpless	He partially engages but sabotages the relationship through neglect, limiting benefits for both.
Forgets Bart’s past help and stays ungrateful	Krusty	Bart	55	30	Bandit	He keeps his status while denying recognition and emotional reward to Bart.
Says “When I’m off the clock, kids can go jump in a lake”	Krusty	Child audience	55	30	Bandit	He maintains boundaries and cynicism but alienates or devalues the very kids who support him.
Deliberately hides his Jewish heritage on camera	Krusty	Himself/Jewish community	45	35	Helpless	He may protect marketability but harms his own identity and positive representation.
Self-medicates his depression with alcohol	Krusty	Krusty	25	45	Helpless	Short-term numbing worsens his long-term mental and physical health.
Regains stardom by returning to clowning after faking his death	Krusty	Audience	75	70	Intelligent	Coming back restores his career and gives his fans back a beloved performer.
Sometimes goes out of his way to help others when he has some gain	Krusty	Helped individuals	70	75	Intelligent	He secures mutual benefit, improving his image and genuinely aiding others.
Uses edgy smoking and anti-establishment persona onstage for a time	Krusty	Audience	60	65	Intelligent	He leverages vices into a style that refreshes his act and entertains adults.
Constantly forgets or dismisses Bart’s efforts as if they never happened	Krusty	Bart	55	25	Bandit	He preserves his ego while denying Bart validation and reciprocity.
States he wants to be a clown to make people laugh as a child	Herschel	Audience	80	80	Intelligent	His core motivation aligns his life pursuit with bringing joy to others.
Starts “Krusty Komedy Klassic” without realizing the KKK acronym	Krusty	Black audience	35	5	Stupid	His ignorance creates offense and reputational damage with almost no upside beyond another show title.
