Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Respects Michael’s demand to stay away from Walt	Locke	Michael and Walt	60	70	Intelligent	Honors the father’s request despite disagreement, stabilizing the parent-child relationship.
Refuses to kill Anthony Cooper despite having every reason	Locke	Anthony Cooper	40	60	Helpless	Spurns vengeance at personal psychological cost, sparing his abusive father.
Arranges for Sawyer to kill Anthony Cooper instead of doing it himself	Locke	Anthony Cooper	45	25	Bandit	Shifts the burden of murder onto Sawyer to resolve his own problem, harming Cooper and implicating Sawyer.
Honors Jin’s request not to bring Sun back to the Island	Locke	Sun and Jin	60	70	Intelligent	Respects a husband’s plea even against his mission, preventing additional trauma for Sun.
Decides against bringing Walt back, believing he’s suffered enough	Locke	Walt	65	80	Intelligent	Prioritizes a child’s well-being over his strategic desire to have him on the Island.
Avoids directly telling Walt that Michael died on the freighter	Locke	Walt	60	60	Intelligent	Spairs Walt immediate emotional trauma while not outright lying, balancing truth and kindness.
Is opaque about why he believes the Island is special	Locke	Other survivors	35	35	Stupid	Withholds key explanations, undermining his own credibility and trust within the group.
Lets himself be repeatedly manipulated by Anthony Cooper and Ben due to his need to be special	Locke	Himself	15	30	Helpless	Allows others to exploit him, damaging his life while serving their agendas.
Becomes Jack’s ideological rival and frequently opposes his plans	Locke	Jack and survivors	45	40	Bandit	Pursues his faith-based strategy at the expense of Jack’s leadership, sometimes worsening group cohesion.
Tries to lead those who distrust the freighter to the Barracks for safety	Locke	Followers who distrust freighter	55	65	Intelligent	Acts on a correct suspicion and offers an alternative plan to protect his faction.
Leads his group to the Barracks where mercenaries later attack and kill most of them	Locke	His faction	20	10	Stupid	Outcome shows his “safe” choice actually placed his followers in greater danger.
Warns others that the freighter is not there to rescue them	Locke	All survivors	55	70	Intelligent	Raises accurate alarm about a hidden threat, giving others a chance (however limited) to prepare.
Fails to convince any of the Oceanic Six to return when he visits them off-island	Locke	Oceanic Six	35	45	Helpless	His mission fails and deepens his despair without benefiting them in the short term.
Tracks down Walt years later just to see him, not to recruit him	Locke	Walt	60	75	Intelligent	Seeks emotional connection and closure without burdening Walt with Island business.
Goes out of his way early to endear himself: finds Vincent and lets Michael take credit	Locke	Walt and Michael	70	85	Intelligent	Does a kind act and surrenders credit to strengthen father-son bond.
Helps Charlie overcome heroin addiction	Locke	Charlie	65	85	Intelligent	Intervenes firmly yet supportively to break Charlie’s self-destructive habit.
Beats Charlie senseless when Charlie’s erratic behavior endangers Claire and Aaron	Locke	Charlie	35	40	Bandit	Uses excessive violence to control a danger, protecting others but seriously harming Charlie.
Compels Boone to face his fixation on Shannon	Locke	Boone	55	70	Intelligent	Guides Boone into confronting unhealthy attachment, aiding Boone’s growth.
Builds Claire a baby cradle for her birthday	Locke	Claire	70	90	Intelligent	Invests effort into a thoughtful, practical gift, strengthening morale and comfort.
Encourages Jack to pursue his “white rabbit” and accept leadership	Locke	Jack	65	80	Intelligent	Nudges Jack toward embracing a role he’s suited for, benefiting Jack and the group.
Serves as a mentor to Boone and other survivors, helping them with personal issues	Locke	Younger survivors	65	80	Intelligent	Provides guidance and emotional support that fosters resilience and growth.
Administers secret tests of character to his fellow castaways	Locke	Other survivors	45	40	Bandit	Manipulates others through opaque trials to gauge their faith, risking trust for his own evaluative goals.
Acts as protective “Papa Wolf” toward Claire, Aaron, and Walt	Locke	Claire, Aaron, Walt	70	85	Intelligent	Uses his strength and vigilance to shield more vulnerable group members.
Allows Ben to “shoot him and leave him for dead” and later forgives him	Locke	Ben	30	55	Helpless	Repeatedly trusts and forgives a manipulator, hurting himself while enabling Ben and offering moral grace.
Regains ability to walk on the Island and embraces his new role	Locke	Himself and survivors	85	80	Intelligent	Transforms his life by walking again, then channels that into leadership and hunting.
Becomes a hunter, adventurer, and leader after being a lonely old man in a wheelchair	Locke	Himself and survivors	80	75	Intelligent	Uses newfound capabilities to gain purpose and materially support the group.
Tries sincerely to protect the Island even when it hurts his relationships	Locke	Island / survivors	50	40	Bandit	Sacrifices social bonds and others’ preferences to serve a grand cause he believes in.
Beats Mikhail severely when Mikhail blocks him from meeting Jacob	Locke	Mikhail	40	30	Bandit	Inflicts a brutal beatdown to push his own spiritual agenda forward.
Accepts Widmore’s alias “Jeremy Bentham” and travels under it	Locke	Himself	55	55	Intelligent	Uses an alias as a practical tool in a complex conflict without clear extra harm or benefit.
Pushes Jack ideologically into faith; after his death, Jack becomes a believer as mirror to Locke	Locke	Jack	65	80	Intelligent	His persistent faith-centered opposition ultimately helps Jack grow into a more balanced protector.
