Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Sayid uses military training and combat skill to protect himself and others	Sayid	Hostile forces	80	70	Intelligent	His prowess keeps him alive and often directly defends his companions.
Sayid constructs radio transmitters and gadgets from salvaged parts	Sayid	Survivors	82	90	Intelligent	His technical improvisation boosts communication and survival for both him and the group.
Sayid properly questions the “suicide” story of Locke’s death	Sayid	Survivors (indirectly)	60	60	Intelligent	His skepticism aligns with the truth and could guide others away from trusting the wrong people.
Sayid goes on a Roaring Rampage of Revenge against Widmore’s inner circle on Ben’s orders	Sayid	Widmore’s associates	45	15	Bandit	He satisfies personal vengeance and obeys Ben but murders many, yielding no broader good.
Sayid shoots young Ben, triggering Ben’s handover to the Others	Sayid	Ben / DHARMA / survivors	8	5	Stupid	The attempt to avert future evil instead causes Ben’s transformation and destabilizes the timeline.
Sayid serves as a hitman for Ben after Nadia’s death	Sayid	Ben’s targets	40	10	Bandit	He gains purpose and an outlet for grief while causing lethal harm to others.
Sayid more or less gives up on hope of redemption in late Season 5	Sayid	Sayid	20	50	Helpless	Abandoning redemption worsens his self-destructiveness without aiding anyone else.
Post-infection, Sayid becomes apathetic when Claire tries to cut Kate’s throat	Sayid	Kate	35	10	Bandit	His refusal to intervene preserves his status with the Man in Black while endangering an ally.
Sayid flashes a terrifying psychotic smirk post-infection	Sayid	Observers (e.g., Ben)	40	30	Bandit	He embraces a menacing persona for psychological dominance, unsettling others with no constructive outcome.
The Man in Black recruits Sayid as Dragon by promising to bring Nadia or Shannon back	Man in Black	Sayid	70	5	Bandit	He manipulates Sayid’s grief to gain a powerful servant at great risk to others.
Sayid has a talk with Desmond that reawakens his better nature	Desmond	Sayid	65	75	Intelligent	Desmond helps Sayid recover his conscience, benefitting them both and those around them.
Dogen declares Sayid “infected” and aligns him with the Man in Black’s side	Dogen	Sayid / survivors	40	20	Bandit	His classification and treatment push Sayid toward the enemy, undermining group safety.
Roger Linus shoots Sayid	Roger Linus	Sayid	55	30	Bandit	He protects his interests and retaliates, harming Sayid and contributing to further chaos.
Others drown Sayid in the healing water of the temple	Others	Sayid	65	60	Intelligent	Their risky act revives him, apparently meant to heal, though it has mixed later effects.
Sayid switches to the Man in Black’s side after being declared infected	Sayid	Survivors	35	10	Bandit	He chooses alignment that secures him a role but directly threatens his former allies.
Sayid helps Desmond in the well (implied cooperation after their talk)	Sayid	Desmond	65	75	Intelligent	Regaining empathy, he aids Desmond and thereby works against the Man in Black.
Sayid takes the bomb on the submarine and runs deeper into the sub with it	Sayid	Jack, Hurley, Frank, Kate, Sawyer	5	95	Helpless	He knowingly sacrifices his life to drastically reduce casualties, offering others a last chance to survive.
Sayid heroically sacrifices himself, dying in the submarine explosion	Sayid	Survivors	5	95	Helpless	His death saves key companions at the cost of his own life.
Sayid awakens after being dead for a few hours in the temple pool	Sayid	Survivors	70	60	Intelligent	His return from death restores a powerful ally, at least initially, benefiting the group.
Sayid dies in the submarine as a redeemed version of himself	Sayid	Sayid / survivors	10	90	Helpless	He gains moral redemption but loses his life while preserving his friends.
Sayid immediately resumes leadership/initiative roles after the crash (signal fire, planning)	Sayid	Survivors	75	85	Intelligent	His early leadership and planning improve everyone’s survival prospects, including his own.
