Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Jon refuses to kill Ygritte when ordered (“Sword over Head”)	Jon Snow	Ygritte	35	70	Helpless	He disobeys and risks punishment to spare her, helping her at his own expense.
Ygritte tries to kill “just about anyone else” in her path during the war	Ygritte	Random enemies	55	10	Bandit	She serves her side and her warrior identity while killing many others.
Jon chooses his Night’s Watch duty over staying with Ygritte	Jon Snow	Ygritte	60	30	Bandit	He preserves his role and the realm’s defense while deeply hurting her emotionally.
Tormund notes Ygritte’s aiming skills and that she could have killed Jon	Tormund	Jon Snow / Ygritte	55	55	Intelligent	His observation clarifies her feelings and helps Jon understand her, with no harm.
Tormund tells Jon that Ygritte loved him from how much she talked about killing him	Tormund	Jon Snow	60	65	Intelligent	He offers Jon emotional closure, helping him process grief at little cost.
Ygritte faces expected execution by Jon by only asking for a clean kill and burning her body	Ygritte	Jon Snow	55	55	Intelligent	Her composure preserves dignity and eases Jon’s moral burden if he kills her.
Ygritte dies in Jon’s arms after being shot	Ygritte	Jon Snow	10	25	Stupid	Her death ends her own prospects and devastates Jon without achieving any real goal.
Ygritte gives a dying declaration of love about the cave and “we should’ve stayed”	Ygritte	Jon Snow	50	65	Intelligent	Her words give them both emotional closure and affirm their love at the end.
Ygritte dies with a faint mocking smile and final “You know nothing, Jon Snow”	Ygritte	Jon Snow	55	60	Intelligent	She leaves Jon with a bittersweet, intimate memory that deepens his growth.
Olly kills Ygritte with an arrow in revenge	Olly	Ygritte	45	20	Bandit	He avenges his parents, easing his pain while removing a serious threat, but it harms Jon.
Tormund insists Ygritte belonged “in the real North”	Tormund	Ygritte’s memory	55	55	Intelligent	His statement honors her identity and guides respectful treatment of her remains.
Tormund’s main concern in prison is that Ygritte receive a proper funeral in her homeland	Tormund	Ygritte	60	70	Intelligent	He risks nothing but ensures her values and dignity are respected.
Jon gives Ygritte a personal funeral beyond the Wall, then burns her body	Jon Snow	Ygritte	40	80	Helpless	He gains emotional closure but deepens his grief while giving her a culturally fitting farewell.
