Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Balon Greyjoy pressures Theon to turn against Robb	Balon Greyjoy	Robb Stark	70	10	Bandit	Balon consolidates his power and gains territory at severe cost to Robb and the North.
Robb rails at Theon’s betrayal and vows to kill him himself	Robb Stark	Theon Greyjoy	40	35	Helpless	His personal vendetta offers little strategic gain and focuses on revenge over broader war needs.
Robb takes time to mingle with common soldiers	Robb Stark	Northern rank and file	70	70	Intelligent	He builds loyalty and morale, strengthening both his position and his men’s.
Robb decides to start a war with the Lannisters to avenge Ned	Robb Stark	The realm	45	20	Helpless	He gains honor and short‑term leverage but triggers a devastating multi‑kingdom war.
Robb ruins his sword hacking at a tree in rage over Ned’s death	Robb Stark	Robb Stark’s own resources	35	55	Helpless	He vents grief but needlessly destroys valuable equipment without helping anyone.
Robb curtly insults Tyrion at Winterfell	Robb Stark	Tyrion Lannister	40	30	Helpless	The slight gratifies his pride but contributes to a chain of events escalating the conflict.
Catelyn impulsively arrests Tyrion at the inn	Catelyn Stark	Tyrion Lannister	30	20	Helpless	The seizure gives a temporary hostage but provokes the Lannisters and helps ignite the war.
Robb calls his banners and marches south	Robb Stark	Northern houses	55	30	Bandit	He asserts leadership and seeks justice but drags houses into a costly conflict.
Robb orders that surrendering Ironborn at Winterfell will be spared	Robb Stark	Ironborn soldiers	65	75	Intelligent	This honorable policy encourages surrenders and reduces casualties on both sides.
Robb refuses Talisa’s implicit plea to end the war and surrender	Robb Stark	War victims in the realm	50	25	Bandit	He maintains his claim and honor but prolongs a bloody conflict harming many others.
Robb parades Talisa before Walder Frey despite broken betrothal	Robb Stark	Walder Frey	25	10	Stupid	This needless provocation worsens Frey humiliation without any compensating gain.
Robb pressures Edmure Tully to marry Roslin Frey	Robb Stark	Edmure Tully	60	55	Intelligent	The forced match repairs a key alliance and benefits their entire side, though Edmure’s autonomy suffers.
Walder Frey refuses Robb passage without heavy concessions	Walder Frey	Robb Stark	65	25	Bandit	He exploits Robb’s need for crossing to extract maximum advantage at others’ expense.
Catelyn frees Jaime Lannister behind Robb’s back	Catelyn Stark	Robb Stark’s war effort	25	20	Helpless	She hopes to save her daughters but sabotages Robb’s leverage and unity with his bannermen.
Robb and Talisa fall deeply in love	Robb Stark & Talisa Maegyr	Each other	60	35	Helpless	Their mutual affection enriches their lives but directly contributes to political catastrophe.
Robb returns to Walder Frey to seek renewed alliance	Robb Stark	House Frey	35	30	Helpless	His desperation move offers a chance at troops but exposes him to fatal betrayal.
Walder Frey massacres Robb, Talisa, Catelyn, and their men at the Red Wedding	Walder Frey	House Stark & northern host	40	5	Bandit	He gains Lannister favor and security by obliterating his guests and their army.
Roose Bolton betrays and personally kills Robb at the Red Wedding	Roose Bolton	Robb Stark	50	5	Bandit	He secures advancement and power by murdering his own king to serve the Lannisters.
Freys mutilate Robb’s corpse and parade it with Grey Wind’s head	Freys	Robb Stark’s memory	20	5	Stupid	The desecration brings no extra gain beyond the killing and deepens hatred against them.
Robb refuses to flee or fight after Talisa’s death	Robb Stark	His own survival	10	45	Helpless	Overwhelmed by grief, he gives up, harming himself while sparing no one else.
Robb stands, calls to his mother, and accepts death with dignity	Robb Stark	Catelyn Stark	20	40	Helpless	Acceptance eases his final moments and communicates with Catelyn but offers no survival benefit.
Robb gives Jon a hug before Jon leaves for the Night’s Watch	Robb Stark	Jon Snow	65	75	Intelligent	The farewell strengthens their bond and supports Jon emotionally at no cost.
Robb gives Catelyn a mild rebuke for neglecting Rickon	Robb Stark	Catelyn Stark	60	70	Intelligent	He redirects his mother toward her duties and Rickon’s needs, aiding both family and rule.
Robb shoots down Jaime’s taunt by pointing out Jaime’s defeats	Robb Stark	Jaime Lannister	60	55	Intelligent	He asserts psychological dominance and reinforces his own reputation without harming his position.
Talisa harshly tells Robb a boy was unlucky he was there (battle injuries)	Talisa Maegyr	Robb Stark	55	65	Intelligent	Her rebuke forces him to confront the human cost of his war, potentially tempering future decisions.
Robb gives Edmure a verbal dressing‑down for disobeying orders	Robb Stark	Edmure Tully	55	60	Intelligent	He enforces strategic discipline to improve future coordination, aiding his cause despite tension.
Robb resolves to be “the good kind” of king	Robb Stark	Subjects of the North	65	70	Intelligent	His explicit aspiration shapes compassionate, just leadership that benefits both him and his people.
Robb adopts Ned’s practice of personally executing those he condemns	Robb Stark	Condemned subjects	55	60	Intelligent	The custom reinforces accountability and legitimacy, improving rule while being harsh for individuals.
