Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
SpongeBob lets a random fish sit on him without protest in “Walking Small”	SpongeBob	Random fish	20	55	Helpless	He allows himself to be literally used as furniture to keep peace, hurting only himself.
SpongeBob uses Gary to train in boot-camp style for the Snail Olympics	SpongeBob	Gary	40	35	Bandit	His harsh regimen harms Gary physically for SpongeBob’s competitive pride.
SpongeBob overly seriously trains Gary to win the snail race and overworks him	SpongeBob	Gary	30	25	Stupid	He injures Gary pursuing petty victory and doesn’t even gain the win.
SpongeBob repeatedly fails his driving test over 1 million times trying to get license	SpongeBob	Mrs. Puff / town	10	30	Stupid	His persistence causes massive destruction and mental damage to Mrs. Puff with no success.
SpongeBob drives like crazy, running over pedestrians in later episodes	SpongeBob	Bikini Bottom citizens	5	5	Stupid	His reckless driving repeatedly devastates the city and harms himself via legal/safety risk.
SpongeBob becomes narcissistic after Krusty Krab commercial and neglects reality	SpongeBob	People around him	40	40	Stupid	His ego alienates others and yields no real gains from the trivial fame.
SpongeBob uses ripped-pants gag as he’s “dying” on the beach to grab attention	SpongeBob	Bystanders	55	35	Bandit	He exploits others’ concern for attention, mildly harming their feelings.
SpongeBob pushes Squidward too far with clinginess in “Breath of Fresh Squidward”	SpongeBob	Squidward	50	35	Stupid	His refusal to respect boundaries hurts Squidward and brings no benefit when rejected.
SpongeBob hosts Squidward and Patrick’s “Good Neighbors” attempts, causing chaos	SpongeBob	Squidward	40	30	Stupid	His misguided neighborhood help torments Squidward and exhausts himself.
SpongeBob cries and falls into depression when Gary runs away	SpongeBob	SpongeBob	20	60	Helpless	His neglect hurts himself emotionally and others only indirectly.
SpongeBob and friends create a national holiday to get away from him (others’ action)	Bikini Bottom citizens	SpongeBob	80	10	Bandit	They gain relief from his presence while deeply hurting him by exclusion.
SpongeBob does nothing when Gary is attacked by Puffy Fluffy, blaming Gary	SpongeBob	Gary	10	5	Stupid	His total misperception nearly costs Gary’s life and gives SpongeBob no benefit.
SpongeBob steals Puffy Fluffy and ignores the seller’s warnings	SpongeBob	Pet-store owner / Gary	15	20	Stupid	He commits theft and endangers his own pet based on gullibility.
SpongeBob indulges as “crazy snail guy” taking in impossible number of stray snails	SpongeBob	Stray snails	25	70	Helpless	He sacrifices his home and comfort to care for many snails, largely benefiting them.
SpongeBob spends Mr. Krabs’ credit card completely on Pearl’s birthday gifts	SpongeBob	Mr. Krabs / Pearl	50	60	Stupid	Pearl’s day is saved but he blows Krabs’ money with no personal gain and risk of backlash.
SpongeBob remodels his house into a replica of Squidward’s to lure him over	SpongeBob	Squidward	35	20	Stupid	His obsessive act creeps Squidward out and doesn’t truly improve the relationship.
SpongeBob helps Plankton by mistake in “Plankton!” and “Walking Small”	SpongeBob	Plankton’s victims	30	10	Stupid	His gullibility furthers villainous schemes while not helping himself.
SpongeBob attempts a panty raid with Patrick and Mr. Krabs in “Mid-Life Crustacean”	SpongeBob	Unknown woman	40	15	Bandit	He joins a voyeuristic break-in for cheap thrills, risking trouble and violating privacy.
SpongeBob fills his house with stored garbage and preserved sweat out of nostalgia	SpongeBob	SpongeBob	25	55	Helpless	His hoarding harms his own living conditions for sentimental reasons.
SpongeBob uses Gary as a drill-sergeant trainee for snail boot camp	SpongeBob	Gary	35	35	Stupid	He stresses Gary for competition, neither clearly winning nor helping anyone.
SpongeBob writes sensationalist lies in “Krabby Kronicle” that ruin lives	SpongeBob	Bikini Bottom citizens	35	10	Bandit	He gains approval/job performance from Mr. Krabs at significant cost to others’ reputations.
SpongeBob publishes an exposé on Mr. Krabs forcing him to print lies	SpongeBob	Mr. Krabs	70	40	Intelligent	He regains his conscience and shames Krabs, risking his job but restoring some justice.
SpongeBob cooks at the Krusty Krab for love of the job despite low pay	SpongeBob	Customers / Mr. Krabs	75	85	Intelligent	He finds fulfillment in work and provides great service, even if underpaid.
SpongeBob overreacts to Plankton’s mild criticism about too much sauce	SpongeBob	SpongeBob	30	60	Helpless	He collapses emotionally from minor critique, hurting only himself.
SpongeBob chooses not to kill the health inspector after serving a tainted patty	SpongeBob	Health inspector	65	75	Intelligent	He abandons Krabs’ murderous plan, protecting a life and his own conscience.
SpongeBob uses his laugh as a torture tool on Plankton under Krabs’ orders	SpongeBob	Plankton	50	10	Bandit	He follows orders to inflict severe harm on Plankton without questioning.
SpongeBob stalks Squidward through windows and into his house multiple times	SpongeBob	Squidward	40	20	Stupid	His boundary violations distress Squidward and don’t secure genuine friendship.
SpongeBob repeatedly ruins Mrs. Puff’s life with his driving tests	SpongeBob	Mrs. Puff	15	10	Stupid	His incompetence and obliviousness push her toward insanity while he learns nothing.
SpongeBob scolds Gary instead of feeding him in “Have You Seen This Snail?”	SpongeBob	Gary	20	10	Stupid	His neglect and misdirected anger drive Gary away and harm their bond.
SpongeBob manipulates Patrick as “dad” while he is “mom” to the scallop	SpongeBob	Patrick	50	60	Intelligent	He pushes Patrick to responsibility, which helps the “family” dynamic even if straining things.
SpongeBob and Patrick terrorize Bikini Bottom as invisible “ghosts” in Pranks a Lot	SpongeBob	Bikini Bottom citizens	40	15	Bandit	He enjoys pranks and fear at substantial emotional cost to others until payback arrives.
SpongeBob cuts Squidward’s TV cables to force him to attend his party	SpongeBob	Squidward	40	20	Stupid	He coerces attendance, damaging property and the relationship without real benefit.
SpongeBob neglects his guests’ fun by enforcing a rigid party schedule	SpongeBob	Party guests	35	30	Stupid	His perfectionism ruins everyone’s enjoyment and leaves him socially worse off.
SpongeBob buys a vicious “playmate” for Gary in “A Pal for Gary” despite warnings	SpongeBob	Gary	10	5	Stupid	He ignores clear danger signs, directly endangering his pet with no upsides.
SpongeBob scolds Patrick harshly after being glued into the wringer	SpongeBob	Patrick	45	40	Stupid	His anger at Patrick is understandable but he lashes out unproductively and gets blamed.
SpongeBob attempts to steal panties in “Mid-Life Crustacean” with others	SpongeBob	Unknown woman	40	10	Bandit	He participates in a sexualized break-in for kicks at someone else’s expense.
SpongeBob forcibly drags Squidward into group activities despite protests	SpongeBob	Squidward	45	25	Stupid	His refusal to take “no” harms Squidward’s peace and doesn’t deepen real friendship.
SpongeBob accepts extreme underpayment / paying to work at Krusty Krab	SpongeBob	Mr. Krabs	20	70	Helpless	He gives away labor and even money for Krabs’ profit while getting mainly emotional reward.
SpongeBob repeatedly forgives Mr. Krabs’ extreme greed and abuse	SpongeBob	Mr. Krabs	35	40	Helpless	His refusal to hold Krabs accountable allows continued exploitation and rarely helps others.
SpongeBob misinterprets punishments as fun activities (e.g., Inferno Island prison)	SpongeBob	Jailers	60	30	Stupid	His obliviousness lets him avoid psychological harm but validates the abusers’ system.
SpongeBob attempts to boycott Mermaid Man movie for using actors	SpongeBob	Movie producers / fans	45	40	Stupid	He gains no result and only positions himself against harmless creative choices.
SpongeBob repeatedly spoils Squidward’s attempts to move away or vacation	SpongeBob	Squidward	45	20	Stupid	His clinginess wrecks Squidward’s escape plans and doesn’t improve his own life.
SpongeBob confronts Mr. Krabs in “One Coarse Meal” about driving Plankton to suicide	SpongeBob	Mr. Krabs	75	80	Intelligent	He defends a rival’s basic life and ethics, risking friction with his boss for a just cause.
SpongeBob accepts punishment of decades of docked pay with enthusiasm	SpongeBob	SpongeBob	25	60	Helpless	He frames severe exploitation as “best boss ever,” harming only himself financially.
SpongeBob works himself into hallucinations by not sleeping for 43 days	SpongeBob	SpongeBob	5	50	Helpless	His overwork annihilates his mental health without helping others more than usual.
SpongeBob refuses to cook for the Chum Bucket in “Welcome to the Chum Bucket”	SpongeBob	Plankton	70	70	Intelligent	He holds to his principles, thwarting Plankton and preserving his own values.
SpongeBob sabotages Squidward’s Employee of the Month attempt out of paranoia	SpongeBob	Squidward	40	25	Bandit	He fiercely protects his status by harming Squidward’s chances.
SpongeBob hides in Patrick’s rock and imprisons him out of jealousy in “Bummer Vacation”	SpongeBob	Patrick	30	20	Stupid	His possessive madness traumatises Patrick and doesn’t get him his job back.
SpongeBob rips Patrick’s license in “Driven to Tears”	SpongeBob	Patrick	35	15	Bandit	He vents jealousy by destroying Patrick’s reward and gains only momentary catharsis.
SpongeBob helps Squidward by throwing pizza at rude customer in “Pizza Delivery”	Squidward (primary), supported by SpongeBob	Rude customer	60	60	Intelligent	Squidward’s act defends SpongeBob’s effort; SpongeBob gains affirmation and the bully is checked.
SpongeBob delivers Krusty Krab pizza through hardships without eating it	SpongeBob	Customer / Mr. Krabs	80	75	Intelligent	He upholds duty over hunger, showing integrity and satisfying the job’s goal.
SpongeBob confronts Mr. Krabs in “Krusty Love” for abusing money-control arrangement	SpongeBob	Mr. Krabs	70	60	Intelligent	He finally snaps at unfair blame, reasserting boundaries though risking his job.
SpongeBob harshly trains Gary just to beat Squidward’s snail in “Great Snail Race”	SpongeBob	Gary	30	25	Stupid	His jealousy-driven regimen harms Gary and doesn’t secure victory.
SpongeBob imitates Squidward’s cruelty in “Breath of Fresh Squidward” by kicking him out	SpongeBob	Squidward	35	30	Stupid	He repeats the same insensitive behavior he hates when roles reverse.
SpongeBob helps mass-evacuate Hotel Halibut in “Jolly Lodgers” after infestation	Squidward (via pest call); secondary: SpongeBob and Patrick	Hotel guests	60	65	Intelligent	The trio’s actions ultimately get everyone to safety, despite prior annoyance.
