Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Patrick starts taking things as king after SpongeBob says he can have anything	Patrick	Citizens of Bikini Bottom	80	10	Bandit	He exploits misinterpreted authority to seize others’ property.
Citizens realize Patrick has no power and stop giving him things	Citizens	Patrick	60	75	Intelligent	They regain autonomy and halt their own losses with minimal extra harm to him.
Patrick eats food and then forgets he did so, misattributing theft	Patrick	SpongeBob	45	35	Stupid	His forgetfulness harms their trust while giving him no real upside.
Patrick is treated to “starfish treatment” after impersonating a doctor	Patrick	Patrick	15	60	Helpless	His fraud leads to painful consequences mostly for himself, mildly helping others by exposing him.
Patrick does nothing to help SpongeBob stuck in the wringer and blames him	Patrick	SpongeBob	45	20	Bandit	He avoids effort and shifts blame while SpongeBob suffers.
Patrick encourages SpongeBob to get his job in the pilot	Patrick	SpongeBob	75	80	Intelligent	His advice helps SpongeBob achieve employment and gives Patrick a happier friend.
Patrick frequently throws SpongeBob under the bus	Patrick	SpongeBob	55	30	Bandit	He protects his own image at SpongeBob’s expense while keeping the friendship.
Patrick, SpongeBob, and Mr. Krabs try to steal panties from a woman	Patrick	Unknown woman	30	10	Bandit	He seeks perverse thrill at her expense, risking serious consequences.
Patrick supports SpongeBob on dangerous quests (movies/games)	Patrick	SpongeBob	80	80	Intelligent	Tagging along to rescue missions benefits both their goals and bond.
Patrick mouths off to Neptune in defense of SpongeBob, worsening things	Patrick	SpongeBob & self	30	20	Stupid	He bravely but foolishly aggravates a powerful foe, hurting both.
Patrick tries to sacrifice SpongeBob to Lord Poltergeist in “Ghoul Fools”	Patrick	SpongeBob	40	10	Bandit	He tries to save himself by offering up his friend to danger.
Patrick crossdresses as Patricia, attracting all the males	Patrick	Male citizens	65	40	Bandit	Disguise protects him and gains attention while misleading others.
Patrick often manipulates SpongeBob into schemes (e.g., Squidtastic Voyage)	Patrick	SpongeBob	55	35	Bandit	He nudges SpongeBob into risky plans to satisfy his own curiosity or fun.
Patrick eats from dumpsters and garbage cans	Patrick	Patrick	40	50	Helpless	He risks his own health for low-grade food with no broader effect.
Patrick continues destructive fits when hearing a bell	Patrick	Bystanders	30	10	Stupid	He becomes uncontrollably dangerous to everyone, including himself.
Patrick reacts with major jealousy when not given a Valentine gift	Patrick	Bystanders & SpongeBob	30	15	Stupid	His insecurity spirals into destructive behavior, harming others and himself.
Patrick becomes a ruthless despot as king in “Rule of Dumb”	Patrick	Bikini Bottom citizens	70	15	Bandit	He uses royal status to take and control, hurting subjects while living lavishly.
Patrick destroys the Krusty Krab while fighting Dirty Bubble	Patrick	Mr. Krabs & patrons	35	20	Stupid	He causes massive collateral damage for an ultimately accidental victory.
Patrick is willing to sacrifice SpongeBob in “Ghoul Fools”	Patrick	SpongeBob	40	10	Bandit	He prioritizes his survival over his friend’s safety.
Patrick crossdresses to avoid perceived dangerous salesman	Patrick	Patrick	60	55	Intelligent	He avoids a perceived threat with a low-cost ruse that harms no one.
Patrick drums well despite stupidity, entertaining others	Patrick	Audience	65	80	Intelligent	His drumming skill brings him status and enjoyment to others.
Patrick eats a Deluxe Krabby Patty in one bite to show off	Patrick	Patrick	65	50	Helpless	He impresses others at potential health cost with no real social gain shown.
Patrick steals a donut from SpongeBob, then feels remorse	Patrick	SpongeBob	40	40	Stupid	He gains a minor treat then is wracked with guilt, losing more emotionally than he gained.
Patrick zaps SpongeBob with karate, going on a destructive rampage	Patrick	Bikini Bottom property & baby	30	10	Stupid	He abuses his new skill to endanger property and even a baby.
Patrick impersonates a doctor in “Suds”	Patrick	SpongeBob	35	20	Stupid	His fake medical help worsens SpongeBob’s illness and risks blame.
Patrick copies SpongeBob entirely to win an award in “Big Pink Loser”	Patrick	SpongeBob	50	30	Bandit	He aims for recognition by stealing SpongeBob’s identity and work ethic.
Patrick keeps the Krabby Kiddie Meal toy all to himself in “Yours, Mine and Mine”	Patrick	SpongeBob	60	20	Bandit	He hogs the shared toy, benefiting at SpongeBob’s expense.
Patrick eats the Patty Pal toy so no one can have it	Patrick	SpongeBob & Mr. Krabs	20	10	Stupid	He destroys the toy, depriving everyone including himself.
Patrick neglects Junior in “Rock-a-Bye Bivalve” and refuses to help	Patrick	Junior & SpongeBob	30	15	Stupid	His laziness burdens SpongeBob and neglects the child scallop.
Patrick feels horrible after seeing the diaper pile and promises to help	Patrick	SpongeBob & Junior	70	80	Intelligent	His remorse leads to genuine support that benefits all three.
Patrick glues SpongeBob into the wringer	Patrick	SpongeBob	25	15	Stupid	His carelessness critically harms SpongeBob’s mobility and health.
Patrick gives SpongeBob a rousing “perseverance” speech about the wringer	Patrick	SpongeBob	55	35	Stupid	The well-meant speech pushes SpongeBob to endure a clearly harmful situation.
Patrick laughs at SpongeBob’s diary being read and pelts Squidward	Patrick	SpongeBob & Squidward	35	15	Stupid	He joins in cruelty toward SpongeBob and unjustly blames Squidward.
Patrick refuses to accept his own “ugliness” after mocking SpongeBob’s	Patrick	SpongeBob	40	25	Stupid	His hypocrisy hurts SpongeBob emotionally and offers him no real gain.
Patrick buys a boat and becomes narcissistic with new power	Patrick	Bystanders	60	30	Bandit	He gains status and enjoyment while treating others worse.
Patrick becomes an insufferable genius after brain coral collision	Patrick	SpongeBob & friends	45	20	Stupid	His new intellect isolates him and alienates everyone.
Patrick decides to revert to being dumb by replacing head again	Patrick	Patrick & friends	75	80	Intelligent	He sacrifices intellect to restore his relationships and happiness.
Patrick helps SpongeBob in “Mimic Madness” by defending him	Patrick	SpongeBob	80	80	Intelligent	He opposes Squidward’s plan to harm SpongeBob, strengthening their bond.
Patrick becomes enraged at Bubble Bass for cheating SpongeBob	Patrick	Bubble Bass	75	75	Intelligent	His anger channels into defending SpongeBob’s fair treatment.
Patrick backs plans that involve forcing Squidward into activities	Patrick	Squidward	55	25	Bandit	He gains fun while disregarding Squidward’s clear lack of consent.
Patrick mooning to keep Moon Jellyfish from disappearing	Patrick	Moon Jellyfish & Jellyspotters	65	70	Intelligent	His action preserves the jellyfish and leads others to help, with minimal cost.
Patrick pretends to be a ghost with SpongeBob using invisible spray	Patrick	Bikini Bottom citizens	60	25	Bandit	He enjoys pranking and scaring the town at their expense.
Patrick often blames others for his mistakes (e.g., “Never My Fault”)	Patrick	Friends	45	30	Bandit	He protects his ego while hurting trust and burdening others with blame.
Patrick fails to listen to SpongeBob’s warning about the trading card	Patrick	SpongeBob	40	25	Stupid	His inattention ruins SpongeBob’s prized card and damages goodwill.
Patrick tries to sacrifice SpongeBob to save his own hide (explicitly noted)	Patrick	SpongeBob	40	10	Bandit	Again chooses self-preservation over loyalty, risking SpongeBob’s safety.
Patrick flies into an Ax-Crazy rage when he thinks his heart is broken	Patrick	SpongeBob & bystanders	30	10	Stupid	Emotional overreaction causes random violence and relationship damage.
Patrick frequently takes advantage of SpongeBob’s generosity	Patrick	SpongeBob	55	25	Bandit	He benefits materially and emotionally from SpongeBob while giving little back.
Patrick goes on destructive tantrum when friendship seems threatened	Patrick	SpongeBob & others	30	15	Stupid	His possessiveness leads to chaos that harms others and himself.
