Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Krabs charges patrons to throw tomatoes at Squidward’s dance show	Mr. Krabs	Squidward	75	35	Bandit	He profits while humiliating his employee for crowd entertainment.
Krabs returns stolen jewelry in “Krusty Katering”	Mr. Krabs	Jewelry owner	75	85	Intelligent	He gives up potential loot to avoid crime and uphold basic ethics.
Krabs sabotages Blandy’s synthetic Krusty Krab and buys back the restaurant	Mr. Krabs	Corporation	80	70	Intelligent	He restores quality and identity at great cost, benefiting both himself and customers.
Krabs sells SpongeBob’s soul to the Flying Dutchman for 62 cents	Mr. Krabs	SpongeBob	15	5	Bandit	He gains trivial money while nearly losing his best fry cook’s soul.
Krabs dumps all his money to buy back the Krusty Krab from Blandy	Mr. Krabs	Customers	65	80	Intelligent	He sacrifices huge capital to restore real patties and local control.
Krabs refuses to fund a children’s charity, asking what they’ve done for him	Mr. Krabs	Children’s fund	60	30	Bandit	He keeps his money but withholds help from needy children.
Krabs opens a hotel with “never deny a guest” policy to make money	Mr. Krabs	Guests	70	60	Intelligent	He invests to attract business, providing service for profit.
Krabs becomes miserable fulfilling Squidward’s extreme requests under his own policy	Mr. Krabs	Squidward	20	60	Helpless	His greed-driven rule backfires, harming him while giving Squidward satisfaction.
Krabs makes SpongeBob work without overtime and charges for non-work actions	Mr. Krabs	SpongeBob & Squidward	65	15	Bandit	He saves payroll by imposing exploitative fees and conditions.
Krabs forces SpongeBob to quit karate or be fired	Mr. Krabs	SpongeBob	55	40	Bandit	He protects his business but overreaches into SpongeBob’s private life.
Krabs fires SpongeBob on sight in “Karate Choppers” without investigation	Mr. Krabs	SpongeBob	30	20	Stupid	His rash decision harms his business and an innocent employee.
Krabs assumes Squidward stole his dime and accuses him	Mr. Krabs	Squidward	35	25	Stupid	He damages trust based on faulty logic and gains nothing.
Krabs lets his mom send him to his room after raiding her drawer	Mr. Krabs	Mrs. Krabs	40	70	Helpless	He loses autonomy but preserves his relationship and her authority.
Krabs raids his mother’s drawer for her undergarments with SpongeBob and Patrick	Mr. Krabs	Mrs. Krabs	15	10	Stupid	He humiliates himself and disrespects her for no benefit.
Krabs tries to keep Plankton from having even one legitimate customer	Mr. Krabs	Plankton	45	20	Bandit	He preserves monopoly out of spite, undermining fair competition.
Krabs destroys Plankton’s legitimate gift shop in “New Leaf”	Mr. Krabs	Plankton	35	5	Bandit	He eliminates a rival’s honest income while appearing paranoid and cruel.
Krabs relentlessly torments Plankton by posing as Pearl in “One Coarse Meal”	Mr. Krabs	Plankton	30	0	Bandit	He gets sadistic amusement while driving Plankton toward suicide.
Krabs laughs off Plankton’s suicide attempt and feels no remorse	Mr. Krabs	Plankton	25	5	Bandit	He derives pleasure and no tangible gain from extreme cruelty.
Krabs steals Clamu’s egg and provokes her rampage	Mr. Krabs	Clamu & bystanders	20	10	Stupid	His theft triggers chaos and danger for negligible personal benefit.
Krabs uses cardboard sewer pipes under the stadium to save money	Mr. Krabs	Stadium patrons	50	15	Bandit	He cuts costs but nearly floods the venue, endangering others.
Krabs sells a rotten patty rather than throw it away in “Born Again Krabs”	Mr. Krabs	Customer	25	10	Bandit	He saves one patty’s cost while making himself ill and risking reputation.
Krabs eats the rotten patty himself insisting it’s fine	Mr. Krabs	Himself	5	40	Helpless	He badly harms his own health while sparing others from it.
Krabs trades most of his body for his millionth dollar in “Clams”	Mr. Krabs	Flying Dutchman (deal)	5	45	Helpless	He severely injures himself for symbolic gain that doesn’t improve life.
Krabs opens “Krabby Land” specifically to cash in on kids	Mr. Krabs	Children/parents	65	20	Bandit	He designs the park around extracting money, not safety or fun.
Krabs physically attacks or threatens customers who don’t pay	Mr. Krabs	Non-paying customers	50	15	Bandit	He enforces payment through fear, protecting revenue but harming goodwill.
Krabs goes insane hunting Ol’ Bluelips after losing his millionth dollar	Mr. Krabs	SpongeBob & Squidward	15	20	Stupid	His obsession terrifies crew and jeopardizes safety without payoff.
Krabs allows SpongeBob to train to regain patty skills in “Pickles”	Mr. Krabs	SpongeBob	75	80	Intelligent	He invests time in staff competency, helping both worker and business.
Krabs forbids SpongeBob and Patrick from playing on hooks in “Hooky”	Mr. Krabs	SpongeBob & Patrick	70	85	Intelligent	He restricts a fun activity to stop them being caught and harmed.
Krabs sends sick SpongeBob home in “Suds”	Mr. Krabs	Customers & SpongeBob	80	80	Intelligent	He protects food safety and lets SpongeBob recover.
Krabs orders SpongeBob home when “overtime” is mentioned in “The Abrasive Side”	Mr. Krabs	SpongeBob	60	60	Intelligent	He chooses not to pay overtime but also avoids overworking SpongeBob.
Krabs has SpongeBob work several extra hours with no overtime in “Enemy In-Law”	Mr. Krabs	SpongeBob	65	35	Bandit	He gains free labor for an elaborate date setup.
Krabs calls Squidward to court on his day off to defend him	Mr. Krabs	Squidward	55	35	Bandit	He uses Squidward’s time to protect himself legally with no compensation.
Krabs installs a “No Boys Allowed!” sign during Pearl’s slumber party	Mr. Krabs	Pearl & friends	60	40	Bandit	He protects his house and rules at the cost of Pearl’s social freedom.
Krabs personally destroys SpongeBob’s house while acting out party fears	Mr. Krabs	SpongeBob	25	15	Stupid	He vents anxiety by wrecking property, hurting both relationship and himself later.
Krabs recruits SpongeBob to infiltrate Pearl’s party despite “no boys” rule	Mr. Krabs	Pearl	55	35	Bandit	He uses deception to protect his house, undermining Pearl’s trust.
Krabs forces SpongeBob to publish fake scandal stories in “The Krabby Kronicle”	Mr. Krabs	Bikini Bottom citizens	65	5	Bandit	He makes money from ruining reputations and lives.
Krabs takes SpongeBob’s spatula hostage to coerce more stories	Mr. Krabs	SpongeBob	60	20	Bandit	He leverages SpongeBob’s passion to force unethical work.
Krabs fires Squidward for quitting and then tries to frame SpongeBob in “Patty Caper”	Mr. Krabs	SpongeBob	35	10	Bandit	He avoids a $1.99 fee by making SpongeBob a scapegoat.
Krabs points at SpongeBob with the stolen ingredient and exposes himself	Mr. Krabs	Himself	10	40	Helpless	His stupidity ruins his scheme and forces restitution benefiting others.
Krabs returns the money after kids revolt in “Krabby Land”	Mr. Krabs	Children/parents	40	75	Helpless	He loses ill-gotten gains but repairs some of the damage to them.
Krabs overcharges at his stadium then is wheeled out of the hospital for no insurance	Mr. Krabs	Himself	15	35	Helpless	His lifelong cheapness backfires in miserable medical care.
Krabs gives Patty Pal toys to both SpongeBob and Patrick to stop their fight	Mr. Krabs	SpongeBob & Patrick	70	80	Intelligent	He sacrifices some profit to restore their friendship and peace.
Krabs uses his money to cheer SpongeBob up in “Best Day Ever”	Mr. Krabs	SpongeBob	80	85	Intelligent	He spends freely to improve SpongeBob’s happiness and morale.
Krabs calls out Squidward for reading SpongeBob’s diary in “Little Yellow Book”	Mr. Krabs	SpongeBob	70	75	Intelligent	He upholds a privacy norm and defends SpongeBob at no real cost.
Krabs refuses to join the diary mockery crowd	Mr. Krabs	SpongeBob	65	75	Intelligent	He forgoes social amusement to avoid hurting SpongeBob.
Krabs quickly regrets selling SpongeBob to the Dutchman after Squidward’s rebuke	Mr. Krabs	Himself	55	60	Intelligent	He recognizes his error and attempts to correct a self- and other-harming deal.
Krabs lets Gary work with him at the Krusty Krab in “A Pal for Gary”	Mr. Krabs	Gary	65	70	Intelligent	He accommodates Gary, pleasing SpongeBob and gaining a helper.
Krabs sometimes invests in cleanliness and health standards	Mr. Krabs	Customers	75	80	Intelligent	When he enforces standards, both business and patrons benefit.
Krabs sells rotten “Spongy Patties” themed after SpongeBob	Mr. Krabs	Customers	55	10	Bandit	He monetizes branding while endangering customer health.
Krabs spends thousands on Mrs. Puff to make her happy in “Krusty Love”	Mr. Krabs	Mrs. Puff	70	80	Intelligent	He sacrifices money for genuine romantic happiness.
Krabs orders SpongeBob to stop him from spending money on Mrs. Puff	Mr. Krabs	SpongeBob	50	60	Intelligent	He tries to curb self-destructive overspending with SpongeBob’s help.
Krabs repeatedly berates SpongeBob for purchases he himself requested	Mr. Krabs	SpongeBob	45	30	Bandit	He shifts blame onto SpongeBob while indulging his own desires.
Krabs snaps at SpongeBob as “loose with other people’s money” in “Krusty Love”	Mr. Krabs	SpongeBob	35	35	Stupid	He alienates a loyal helper and gains nothing but momentary ego defense.
Krabs opens “Krusty Towers” solely to cash in on hotel profits	Mr. Krabs	Guests	70	65	Intelligent	He creates a real service that benefits customers and his bottom line.
Krabs laughs about underpaying Squidward in “The Play’s the Thing”	Mr. Krabs	Squidward	60	30	Bandit	He saves on wages and mocks Squidward’s exploitation.
Krabs starts charging employees for breathing, talking, existing in “Squid on Strike”	Mr. Krabs	SpongeBob & Squidward	65	10	Bandit	He attempts extreme extraction of money from workers at their expense.
Krabs uses SpongeBob and Squidward as human shields	Mr. Krabs	SpongeBob & Squidward	35	20	Bandit	He protects himself from danger by exposing subordinates.
Krabs refuses to pay his crew in “Mutiny on the Krusty”	Mr. Krabs	Employees	50	15	Bandit	He withholds rightful compensation to keep more money.
Krabs considers SpongeBob “like a son” but still fires him for a nickel	Mr. Krabs	SpongeBob	20	20	Stupid	He undermines a deep relationship and his own interests for trivial gain.
Krabs sells his soul repeatedly in “Money Talks”	Mr. Krabs	Himself	10	40	Helpless	He mortgaging his soul for small benefits that don’t outweigh the cost.
Krabs wishes to be steamed and served with butter to prove magic isn’t real	Mr. Krabs	Himself	5	45	Helpless	His stubbornness gets him literally cooked, proving SpongeBob right.
Krabs returns the chest of gems instead of keeping them in “Krusty Katering”	Mr. Krabs	Gem owner	80	85	Intelligent	He refuses theft, avoiding legal/moral fallout and aiding the owner.
Krabs rushes home to shoo kids off his lawn	Mr. Krabs	Local kids	55	45	Intelligent	He protects property and quiet at minor social cost to kids.
Krabs attacks Harold for insulting his claws	Mr. Krabs	Harold	50	40	Bandit	He defends pride violently, gaining satisfaction while escalating conflict.
Krabs fires SpongeBob to save 5 cents in “SpongeBob, You’re Fired”	Mr. Krabs	SpongeBob	15	15	Stupid	The tiny saving devastates his operations and SpongeBob’s livelihood.
Krabs tries to take Plankton’s single customer in “Plankton’s Regular”	Mr. Krabs	Plankton	40	15	Bandit	He acts out of petty spite to damage Plankton’s one success.
Krabs threatens to rip off a fish’s arm for a penny	Mr. Krabs	Fish customer	40	10	Bandit	Intimidation preserves every cent but harms reputation and safety.
Krabs opens Krusty Krab Stadium without proper infrastructure	Mr. Krabs	Patrons	60	30	Bandit	He profits from events while risking patrons due to corner-cutting.
Krabs goes hoarse warning SpongeBob against hooks in “Hooky”	Mr. Krabs	SpongeBob & Patrick	75	80	Intelligent	He exerts himself to prevent them from being caught and taken away.
Krabs tries to kill Squidward in “Out of the Picture”	Mr. Krabs	Squidward	10	0	Stupid	Attempted murder for gain exposes him to maximum risk with no payoff.
Krabs sabotages the corporate Krusty Krab’s machinery in “Selling Out”	Mr. Krabs	Corporation	70	75	Intelligent	He restores authentic food and reclaims his brand to mutual benefit.
Krabs opens a movie theater just to charge SpongeBob a penny in “Penny Foolish”	Mr. Krabs	SpongeBob	10	20	Stupid	He spends far more money than he could ever gain from a single cent.
Krabs nearly gives the formula to Plankton for chum in “The Hankering”	Mr. Krabs	Himself/Plankton	20	10	Stupid	He risks his entire empire for disgusting food he soon regrets.
Krabs attacks the bubble customer in “Bubble Buddy” after non-payment	Mr. Krabs	Bubble Buddy	45	25	Bandit	He tries to enforce payment by aggression, angering bystanders later.
Krabs shuts the restaurant in “Clams” to worship his millionth dollar	Mr. Krabs	Customers	35	20	Stupid	He loses immediate revenue and frustrates customers for private obsession.
Krabs chooses to fight supernatural entities for treasure	Mr. Krabs	Himself	40	45	Helpless	He risks life and sanity for gold he usually cannot keep.
Krabs lets SpongeBob and Patrick repaint his house after the paint prank	Mr. Krabs	SpongeBob & Patrick	50	60	Intelligent	He accepts their repair efforts, partially restoring trust and property.
