Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Fiona parties hard at Robbie’s home after losing her job	Fiona	Fiona / Robbie	20	25	Helpless	She self-medicates with reckless partying, further destabilizing herself with little gain to others.
Fiona wakes up somewhere unknown with no memory, prompting a family search	Fiona	Family	15	20	Stupid	Her blackout endangers herself and forces her family to expend time and worry to find her.
Fiona hastily buys a dumpy laundromat without realizing repair costs	Fiona	Fiona / Household	20	40	Helpless	She undermines her finances and household security for a poorly planned venture that helps few.
Fiona puts the family house up as collateral without telling anyone	Fiona	Gallagher family	15	10	Stupid	She risks everyone’s home for a shaky idea and blindsides the family.
Fiona insists on being central to every family issue and decision	Fiona	Siblings	45	30	Bandit	Her control gives her a sense of power and involvement but stifles her siblings’ autonomy.
Fiona is unsupportive of Debbie’s pregnancy and argues against it	Fiona	Debbie	60	65	Intelligent	She’s harsh but correctly highlights the risks of teen motherhood, benefiting both.
Fiona finagles an abandoned church for property development over Ian’s shelter plan	Fiona	Homeless queer youth / Ian	70	20	Bandit	She advances her own economic project while blocking a resource for vulnerable teens.
Fiona impulsively marries Gus in a private ceremony	Fiona	Gus	30	35	Helpless	Again, the impulsive marriage gives brief emotional payoff but ends badly with little mutual benefit.
Fiona decides she is “done mothering everyone” in Season 7	Fiona	Siblings	70	60	Intelligent	She reclaims her life while encouraging her siblings’ independence, despite short-term friction.
Fiona decides to leave cocaine lying out with a toddler in the house	Fiona	Liam	5	0	Stupid	She knowingly leaves a deadly substance accessible to a child with zero benefit.
Fiona uses the house as collateral for another business venture in Season 7	Fiona	Gallagher family	10	5	Stupid	She again endangers the family’s housing for a poorly conceived plan.
Fiona crashes her car after finding out Ford is married, going bankrupt	Fiona	Fiona	5	45	Helpless	Her emotional reaction causes financial ruin and harm to herself far more than to others.
Fiona commits assault after discovering Ford is married	Fiona	Ford	25	10	Bandit	She vents rage through violence, gaining brief catharsis but harming Ford and her own standing.
Fiona practices tough love by refusing to take responsibility for Debbie’s baby	Fiona	Debbie	75	70	Intelligent	Her firm stance forces Debbie to own her choices, promoting long-term responsibility.
Fiona reverses cleaning Debbie’s room to show Debbie the reality of teen parenting	Fiona	Debbie	80	75	Intelligent	This demonstration helps Debbie grasp consequences while costing Fiona only some effort.
Fiona demands Debbie contribute financially or be kicked out	Fiona	Debbie	75	70	Intelligent	Her ultimatum promotes shared responsibility and reduces Fiona’s burden.
Fiona tells Debbie that raising Debbie’s baby while Debbie works is “not her problem”	Fiona	Debbie	70	65	Intelligent	She reinforces boundaries, pushing Debbie toward realistic planning.
Fiona cheats on Robbie, leading to leaving cocaine out	Fiona	Robbie / herself	20	15	Bandit	She seeks excitement with little benefit and sets up harm to herself and others.
Fiona goes off the rails at Robbie’s home and ends up in a Frank-like state	Fiona	Fiona / family	15	20	Stupid	Her breakdown harms her health and forces others to worry with no compensating gain.
Fiona gives her family a large amount of money before leaving Chicago	Fiona	Family	60	90	Helpless	She relinquishes substantial resources to help them while gaining only modest emotional closure.
Fiona decides to leave Chicago to pursue her own path	Fiona	Fiona / Family	85	70	Intelligent	She seeks personal growth while trusting her now-mature family to manage without her.
Fiona refuses help even when Jimmy/Steve offers	Fiona	Fiona	30	55	Helpless	Her pride deprives her of support while marginally freeing others from obligation.
Fiona smiles and acts like everything is fine to protect her siblings	Fiona	Siblings	40	75	Helpless	The façade strains her mentally but reassures and stabilizes the kids.
