Event	Actor	Target	Self-impact score (S)	Other-impact score (O)	Type	Explanation
Chandler smokes despite his friends’ objections	Chandler	His friends	35	40	Bandit	He gets short-term stress relief while subjecting them to secondhand smoke and worry.
Chandler turns the group against each other by exposing their flaws to deflect from his smoking	Chandler	All friends	55	20	Bandit	He protects himself from criticism by creating conflict among them.
Rachel’s boss leaves Chandler handcuffed to a drawer	Rachel’s boss	Chandler	20	20	Stupid	He abandons Chandler restrained for a long time, risking harm without gain.
Chandler relapses repeatedly into smoking after quitting	Chandler	Chandler	25	40	Helpless	He knowingly harms his health for fleeting relief with no lasting upside.
Chandler often accidentally reveals friends’ secrets	Chandler	Friends	40	30	Stupid	His loose talk creates problems for them and embarrassment for him.
Chandler reveals to Rachel that Ross is in love with her	Chandler	Ross and Rachel	75	80	Intelligent	It causes drama but ultimately propels them into a relationship they both want.
Chandler reveals to a child that they were adopted	Chandler	Adopted child	30	20	Stupid	He breaks sensitive news clumsily, distressing them and creating trouble with parents.
Chandler reveals Phoebe is the birth mother to her nieces/nephew	Chandler	Phoebe’s nieces/nephew	35	25	Stupid	He exposes a kept secret without awareness, upsetting family dynamics.
Chandler refuses to dance at weddings to avoid embarrassing himself	Chandler	Himself	55	55	Intelligent	He preserves his own comfort and the impact on others is neutral.
Chandler takes dance lessons to surprise Monica at their wedding	Chandler	Monica	80	90	Intelligent	He puts in effort to give them a better first dance and make her happy.
Chandler makes Monica stop “training” him by listing her recent miseries	Chandler	Monica	45	15	Bandit	He ends his discomfort by psychologically hurting her in a vulnerable moment.
Chandler sternly breaks up Rachel and Amy’s fight and forces apologies	Chandler	Rachel, Amy, Monica	75	80	Intelligent	He asserts authority, restoring order and protecting Monica’s feelings/property.
Chandler refuses to snark as a New Year’s resolution then gives up quickly	Chandler	Chandler	45	55	Helpless	He fails his goal, but the cost is minimal and he regains his coping style.
Chandler freaks out and tries to end relationships after fights in early seasons	Chandler	Girlfriends	25	25	Stupid	He sabotages his own desire for connection and destabilizes partners.
Chandler tells Monica “it’s over” after one fight during a getaway	Chandler	Monica	30	20	Stupid	He nearly wrecks a good relationship over a minor conflict, hurting both.
Joey declares it a tradition to hear Chandler’s Thanksgiving trauma story	Joey	Chandler	60	40	Bandit	Joey gets entertainment from Chandler’s pain; Chandler is partly validated but re-traumatized.
Chandler refuses to participate in Thanksgiving or eat traditional foods	Chandler	Friends at Thanksgiving	45	35	Helpless	He avoids triggers but misses shared joy and burdens the group experience.
Chandler gradually begins helping Monica cook Thanksgiving dinner	Chandler	Monica and friends	80	85	Intelligent	He works through trauma and contributes, improving his own and others’ holiday.
Chandler allows Monica to make him a personal chicken for Thanksgiving	Chandler	Monica	75	80	Intelligent	He compromises, letting her care for him and improving his experience.
Chandler gloats a bit when he and Joey win the apartment by quiz	Chandler	Monica and Rachel	70	35	Bandit	He gains a better apartment while they lose theirs and feel humiliated.
Chandler pretends to want to watch sports to seem macho	Chandler	Himself	40	50	Helpless	He restricts his own enjoyment for image without actually impressing anyone.
Chandler happily watches the parade when told he can drop the macho act	Chandler	Himself	70	70	Intelligent	He aligns with genuine preferences with no harm to others.
Chandler checks if Joey has his passport and prompts him to retrieve it	Chandler	Joey	80	80	Intelligent	He ensures Joey can travel, helping Joey and safeguarding their shared plans.
Chandler smokes and then uses sarcasm to defend it to the group	Chandler	Friends	35	40	Bandit	He maintains his habit while undermining their attempts to help.
Chandler becomes very jealous over Kathy’s onstage kisses	Chandler	Kathy	40	30	Stupid	His jealousy hurts the relationship and his own peace without real benefit.
Chandler later acknowledges to Joey that Kathy cheated on Joey with him	Chandler	Joey	60	65	Intelligent	He honestly owns the betrayal, giving Joey clarity and some emotional closure.
Chandler puts effort into not snarking and later uses it as self-awareness	Chandler	Chandler	60	60	Intelligent	Experimenting shows him how core snark is and helps his self-understanding.
Chandler digs himself deeper with Monica’s parents by overtalking	Chandler	Monica’s parents	30	30	Stupid	His nervous babble worsens their opinion and his standing.
Chandler seeks advice from Monica and Rachel to improve sexually before Kathy	Chandler	Monica, Rachel, Kathy	80	80	Intelligent	He invests in learning, improving his confidence and partner’s experience.
Chandler consoles “Bob’s” ex and sleeps with her under false pretenses	Chandler	“Bob’s” ex	65	20	Bandit	He gets sex while she is deceived and then emotionally hurt.
Chandler gets nubbin removed after it scares a woman off	Chandler	Chandler	70	60	Intelligent	He increases his dating prospects and confidence at minor personal cost.
Chandler lifts Susie’s skirt in fourth grade in front of others	Chandler	Susie	20	10	Bandit	He gains momentary status/laughs while humiliating her badly.
Chandler insults Monica for being fat in the past	Chandler	Monica	25	20	Bandit	He boosts his own insecure status by deeply hurting her body image.
Chandler uses Marty the janitor as stand-in parent on Parents’ Day	Chandler	Chandler	40	55	Helpless	He patches over parental neglect with a stopgap that doesn’t fix root harm.
Chandler treats Joey like a “son” and restricts Joey from parenting Emma	Chandler	Joey	60	55	Bandit	He asserts protective authority, mildly limiting Joey while jokingly expressing care.
Chandler runs away to Yemen to avoid breaking up with Janice directly	Chandler	Chandler’s finances	15	40	Helpless	He wastes thousands of dollars and exhausts himself to dodge a conversation.
Chandler uses humor as a defense mechanism to mask deep insecurity	Chandler	Chandler	55	55	Intelligent	Humor protects him from worse distress, with only moderate long-term cost.
Chandler occasionally makes mean jokes but gets upset when others joke at him	Chandler	Friends	40	35	Stupid	His double standard strains relationships and leaves him feeling victimized.
Chandler freaks out and runs off before his wedding to Monica	Chandler	Monica	30	25	Stupid	He causes huge stress, nearly ruining the wedding without gaining anything.
Chandler ultimately returns and goes through with the wedding	Chandler	Monica	90	95	Intelligent	He overcomes fear, securing mutual happiness and long-term stability.
Chandler hides his fear of dogs from everyone except Joey	Chandler	Friends	45	50	Helpless	Concealing it keeps him anxious around dogs without real benefit.
Chandler becomes the sort of boss he dislikes after a promotion	Chandler	Subordinates	40	40	Stupid	He harms his authenticity and staff experience without actual need.
